"ComputerNameFromFile","Name","Description","LastBadPasswordAttempt","LastLogonDate","OperatingSystem","OperatingSystemVersion"
"WVUHS\H77902","H77902","RNI",,"7/4/2021 12:30:57 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72428","H72428","RNI Exam Room",,"7/7/2021 4:37:57 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72503","H72503","RNI Exam Room",,"7/9/2021 3:02:12 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H75426","H75426",,,"7/14/2021 11:00:53 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H75979","H75979",,,"7/11/2021 2:53:16 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79773","H79773",,,"7/4/2021 11:33:02 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H58481","H58481",,,"7/12/2021 3:00:28 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H69887","H69887","STOCK",,"7/6/2021 8:03:02 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H77504","H77504",,,"7/5/2021 6:10:43 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73332","H73332",,,"7/11/2021 3:01:57 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H82270","H82270","RNI",,"7/12/2021 9:50:49 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H72648","H72648","RNI Exam Room",,"7/13/2021 12:41:19 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H82642","H82642","RNI",,"7/5/2021 10:04:14 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H77149","H77149",,"7/14/2021 1:39:39 PM","7/14/2021 3:02:17 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H72259","H72259","RNI Exam Room",,"7/13/2021 12:03:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72375","H72375","RNI Exam Room",,"7/10/2021 11:25:31 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72634","H72634","RNI Exam Room",,"7/8/2021 10:07:18 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H68485","H68485",,,"7/8/2021 4:18:38 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H72424","H72424","RNI Registration Desk",,"7/12/2021 1:15:18 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79942","H79942",,,"7/9/2021 9:45:55 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72439","H72439",,,"7/10/2021 7:01:01 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H55542","H55542","WVUH Ruby 4 floor Nursing Admin",,"7/9/2021 2:06:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H64416","H64416","HSC Room 5304H",,"7/14/2021 1:14:23 AM","Windows 10 Enterprise","10.0 (19042)"
"WVUHS\H62189","H62189","WVUHS - HSC - 5th Floor - Nursing Administration","6/9/2021 12:02:14 PM","7/14/2021 3:09:01 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H59733","H59733","Stephani Kish Ruby 4E 4C59",,"7/8/2021 10:25:02 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H63837","H63837","HSC 5th Floor Suite 5304",,"7/4/2021 6:40:31 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74560","H74560",,,"7/5/2021 2:45:47 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H62463","H62463","OSC 3N Stroke Program Office - Angela Schaffer",,"7/10/2021 5:56:13 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74044","H74044","4th floor Infection Control","7/13/2021 8:00:02 PM","7/6/2021 8:21:45 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H52685","H52685","4c59",,"7/10/2021 11:00:46 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H67314","H67314",,,"7/8/2021 7:53:24 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H75452","H75452",,,"7/12/2021 6:01:29 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H53463","H53463","CRH Room 2-76",,"7/7/2021 4:10:08 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H51478","H51478","CRH",,"7/7/2021 1:03:16 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72661","H72661","WVUH - CRH - Rm 1-129","7/14/2021 4:28:15 PM","7/7/2021 3:15:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72493","H72493",,,"7/14/2021 5:35:37 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H52796","H52796",,,"7/11/2021 11:00:51 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H60776","H60776",,,"7/5/2021 3:01:13 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H62506","H62506",,,"7/9/2021 1:50:51 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74506","H74506",,,"7/14/2021 6:49:36 PM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H74287","H74287","CRH 1-45","5/3/2021 3:01:40 AM","7/6/2021 4:10:25 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H71424","H71424",,,"7/5/2021 1:24:50 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H51353","H51353","CRH",,"7/12/2021 10:21:34 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H51477","H51477","CRH",,"7/12/2021 8:42:14 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H55302","H55302",,,"7/7/2021 7:53:52 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H56318","H56318","Ruby 4 Pharmacy Room 4A24",,"7/10/2021 1:28:07 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H59849","H59849",,,"7/12/2021 1:01:03 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72489","H72489",,,"7/7/2021 8:24:10 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H77522","H77522",,,"7/14/2021 3:11:11 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H69676","H69676",,,"7/6/2021 12:15:07 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72224","H72224","HSC - Rm 2204",,"7/8/2021 11:02:11 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72318","H72318",,"2/24/2021 7:42:53 AM","7/10/2021 10:40:38 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H52552","H52552",,,"7/10/2021 12:55:14 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H56310","H56310",,,"7/4/2021 1:24:06 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H73228","H73228",,,"7/9/2021 9:34:47 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H50977","H50977","Pathology Histology",,"7/6/2021 11:50:57 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H50872","H50872","Pathology Histology",,"7/8/2021 3:46:48 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H74043","H74043","HSC 2 Fam Med Rm 2314",,"7/11/2021 12:08:09 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H56325","H56325",,,"7/9/2021 7:27:25 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H72138","H72138","FAMMED HSC 2211",,"7/7/2021 7:49:56 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H50959","H50959","Pathology Histology",,"7/7/2021 4:12:24 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H77652","H77652",,,"7/5/2021 5:00:40 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H63996","H63996","Health Sciences North RM 2301","4/16/2021 12:45:00 PM","7/9/2021 7:16:50 AM","Windows 10 Enterprise","10.0 (17763)"
"WVUHS\H51010","H51010","Pathology Histology",,"7/7/2021 3:36:16 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H63976","H63976","histology lab (in room HSC 2155)",,"7/14/2021 3:01:05 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H52813","H52813",,,"7/7/2021 12:54:21 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79822","H79822",,,"7/6/2021 1:06:20 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79646","H79646",,,"7/11/2021 4:02:31 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79840","H79840",,,"7/6/2021 8:16:42 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H79915","H79915",,,"7/10/2021 9:57:37 AM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\H50748","H50748","Triage   FAMMED",,"7/11/2021 5:00:43 PM","Windows 10 Enterprise","10.0 (18363)"
"WVUHS\HSCEDSIM8","HSCEDSIM8",,,"7/4/2021 11:21:08 PM","Windows 10 Enterprise","10.0 (19042)"
