id,pres_ID,email,Meeting_name,pres_type,pres_date,Presenters,Lead_presenter,pres_title,conf_type,pres_status,City,State,Country,APA_citation
700940460,32,NULL,"West Virginia University School of Nursing Research Retreat
",Podium presentation,2010-10-01 00:00:00.000,Mariann Harding,NULL,Uncertainty during the breast diagnostic period.,Local,Submitted,Morgantown,WV,US,NULL
700953606,2,NULL,Southern Nursing Research Society Meeting,Poster,2011-02-01 00:00:00.000,Vera Barton-Caro,NULL,Heart Failure Patient Decision Making Regarding Prophylactic Internal Defibrillators,Regional,Accepted,Baltimore,MD,US,NULL
700953606,6,NULL,The American Association of Heart Failure Nurses Annual Scientific Meeting,Poster,2011-06-01 00:00:00.000,Vera Barton-Caro,1,Heart failure patient decision making regarding prophylactic internal defibrillators,National,Accepted,Minneapolis,MN,US,NULL
700953606,35,NULL,Southern Nursing Research Society Meeting,Poster,2011-02-01 00:00:00.000,Vera Barton-Caro,NULL,Heart Failure Patient Decision Making Regarding Prophylactic Internal Defibrillators,Regional,Accepted,Jacksonville,FL,US,NULL
700953606,36,NULL,Southern Nursing Research Society Meeting,Poster,2009-02-01 00:00:00.000,Vera Barton-Caro,NULL,Appraisal of Extraordinary Care,Regional,Accepted,Baltimore,MD,US,NULL
700953606,41,NULL,The American Association of Heart Failure Nurses Annual Scientific Meeting,Poster,2013-06-27 00:00:00.000,Vera Barton-Caro,NULL,Embodied Revelation: The Threat of Sudden Cardiac Death for Implantable Carddioverter Defibrillator Candidates,National,Accepted,Montreal,NULL,Canada,NULL
700971355,4,NULL,Evidence Based Practice Conference,Poster,2013-05-03 00:00:00.000,Alissa Parker,1,Oral Propranolol in the Treatment of Infantile Hemangiomas: A Systematic Review,Local,Accepted,Huntington,WV,US,NULL
701188315,1401,NULL,West Virginia Organization of Nursing Leadership Conference,Poster,2014-11-01 00:00:00.000,"Sand-Jecklin, K., Daniels, C., & Lucke-Wold, N.",NULL,Incorporation of Health Literacy Assessment into Patient Admission Database: Formative Evaluation of a Practice Change,State,Presented,Morgantown,WV,US,"Sand-Jecklin, K., Daniels, C., & Lucke-Wold, N. (2014, November). Incorporation of Health Literacy Assessment into Patient Admission Database: Formative Evaluation of a Practice Change. Poster presentation at West Virginia Organization of Nursing Leadership Conference, Morgantown, WV."
701188315,1402,NULL,Sigma Theta Tau Alpha Rho Chapter Conference,Podium presentation,2014-10-01 00:00:00.000,"Sand-Jecklin, K., Richards, S., Lucke-Wold, N., & Daniels, C.",NULL,Video Monitoring for Patients at High Fall Risk: Outcomes of a Practice Change.,Local,Presented,Morgantown,WV,US,"Sand-Jecklin, K., Richards, S., Lucke-Wold, N., & Daniels, C. (2014, October). Video Monitoring for Patients at High Fall Risk: Outcomes of a Practice Change. Podium presentation at Sigma Theta Tau Alpha Rho Chapter Conference, Morgantown, WV."
701196295,27,NULL,University of New Mexico,Podium presentation,2012-10-25 00:00:00.000,Karen Jagiello; Jamie Lee,NULL,Piloting a mentoring study betweentwo levels of nursing students,National,Presented,Albuquerque,NM,US,NULL
701196295,28,NULL,James Madision University,Podium presentation,2011-04-12 00:00:00.000,Karen Jagiello; Marjorie Schiekl,NULL,The birth of a rolling simulation,Local,Presented,Harrisonburg,VA,US,NULL
701196295,29,NULL,Southern Nursing Research Society,Poster,2012-02-24 00:00:00.000,Karen Jagiello,NULL,Emotional Discord in Pregnant Women who Experience Inequity: A Literature Review,Regional,Accepted,New Orleans,LA,US,NULL
701196295,1505,NULL,Southern Nursing Research Society’s 29th Annual Conference,Poster,2015-02-01 00:00:00.000,"Jagiello, K. & Chertok, I.",NULL,Lived Experience of Breastfeeding after Gestational Diabetes.,Regional,Presented,Tampa,FL,US,"Jagiello, K. & Chertok, I. (2015, February) Lived Experience of Breastfeeding after Gestational Diabetes. Poster presentation at the Southern Nursing Research Society’s 29th Annual Conference, Tampa, FL."
701196295,1506,NULL,Alpha Rho Chapter Sigma Theta Tau Biennial Research Conference,Poster,2014-10-01 00:00:00.000,"Jagiello, K., & Chertok, I.",1,Phenomenological Study of the Lived Experience of Early Breastfeeding After Gestational Diabetes,Local,Presented,Morgantown,WV,US,"Jagiello, K., & Chertok, I. (October 2014) Phenomenological Study of the Lived Experience of Early Breastfeeding After Gestational Diabetes. Poster presentation at the Alpha Rho Chapter Sigma Theta Tau Biennial Research Conference, Morgantown, WV."
701196295,1507,NULL,Virginia Student Nurses Association Convention,Podium presentation,2014-02-01 00:00:00.000,"Jagiello, K.",NULL,Women’s health nursing opportunities for new graduate nurses.,State,Presented,Virginia Beach,VA,US,"Jagiello, K. (2014, February). Women’s health nursing opportunities for new graduate nurses. Podium presentation at Virginia Student Nurses Association Convention, Virginia Beach, Va."
