#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"DistinguishedName","GroupCategory","GroupScope","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Users","group","01de3392-d00d-4c51-a55a-7dd67f9c3b77","Users","S-1-5-32-545"
"CN=Denied RODC Password Replication Group,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Denied RODC Password Replication Group","group","700320aa-0626-4828-a36b-b2f78524ffe6","Denied RODC Password Replication Group","S-1-5-21-865322659-4255640127-3857865232-572"
"CN=Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Administrators","group","54b16ecb-9cae-4172-bb54-77855419854f","Administrators","S-1-5-32-544"
"CN=Account Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Account Operators","group","802b8fd0-b4e0-42bf-aaf1-b4e6004c34c0","Account Operators","S-1-5-32-548"
"CN=Distributed COM Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Distributed COM Users","group","4934cae2-42d8-4fa5-934f-77a99d3355b8","Distributed COM Users","S-1-5-32-562"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Certificate Service DCOM Access","group","561f8dff-18a3-4c05-a650-b731c087245d","Certificate Service DCOM Access","S-1-5-32-574"
"CN=Print Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Print Operators","group","281d7e1f-1445-4927-b46f-e52b04800915","Print Operators","S-1-5-32-550"
"CN=Replicator,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Replicator","group","8363e1f5-ce0f-4e84-b528-9887dc72148f","Replicator","S-1-5-32-552"
"CN=Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Domain Controllers","group","6bfbde63-e750-464a-9afa-6e23641e65c9","Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-516"
"CN=Read-only Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Read-only Domain Controllers","group","54e7aee1-207e-404f-94f5-b480a23ed7e8","Read-only Domain Controllers","S-1-5-21-865322659-4255640127-3857865232-521"
"CN=Event Log Readers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Event Log Readers","group","79d2f9a6-cc55-4397-8958-ac4d18bcc4e4","Event Log Readers","S-1-5-32-573"
"CN=Terminal Server License Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Terminal Server License Servers","group","0c1a7eff-1f2a-4c8f-8a31-1d80ac3b7ddf","Terminal Server License Servers","S-1-5-32-561"
"CN=Domain Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Domain Users","group","378ec2ac-19fa-4ec8-82a9-64747e7ae5f5","Domain Users","S-1-5-21-865322659-4255640127-3857865232-513"
"CN=Network Systems Group,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Network Systems Group","group","c844ea30-612e-47b2-a89d-1050fc1d5909","Network Systems Group","S-1-5-21-865322659-4255640127-3857865232-12721"
"CN=HSC SCCM Client Push Agents,OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC SCCM Client Push Agents","group","60a3eb21-793f-496f-a8d8-44e20eb68c41","HSC SCCM Client Push Agents","S-1-5-21-865322659-4255640127-3857865232-58386"
"CN=Desktop Support Group,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Desktop Support Group","group","99760d37-483d-423a-95bf-63904aad7d4e","Desktop Support Group","S-1-5-21-865322659-4255640127-3857865232-12724"
"CN=HSC ISO,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC ISO","group","cc0fa407-bcea-4ba7-8076-459a8c359f04","HSC ISO","S-1-5-21-865322659-4255640127-3857865232-2138"
"CN=$HSCALL,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$HSCALL","group","b6e92009-ce77-4fb9-a51e-bc3fa55ac16f","$HSCALL","S-1-5-21-865322659-4255640127-3857865232-3229"
"CN=Faculty,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Faculty","group","86a4fe09-251d-4635-8a6d-2403897a0ae4","Faculty","S-1-5-21-865322659-4255640127-3857865232-3251"
"CN=$HD,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","$HD","group","9cf7120b-7846-4db8-949e-8aeca376462d","$HD","S-1-5-21-865322659-4255640127-3857865232-2129"
"CN=Telephone TS Users,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Telephone TS Users","group","da2be10f-8f95-49df-ac02-a1f75be1a1ec","Telephone TS Users","S-1-5-21-865322659-4255640127-3857865232-2214"
"CN=$RESLAB,OU=RESLAB,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$RESLAB","group","09ce0e10-400e-4379-b8ad-3bd607d45a92","$RESLAB","S-1-5-21-865322659-4255640127-3857865232-3237"
"CN=Wapac Admins,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Wapac Admins","group","53538f1a-d980-4b8c-81aa-4d5cffdd1a44","Wapac Admins","S-1-5-21-865322659-4255640127-3857865232-2205"
"CN=$MICRO,OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$MICRO","group","0201ed1a-017c-482c-b75e-eafd6d0c3769","$MICRO","S-1-5-21-865322659-4255640127-3857865232-3232"
"CN=HSC ISO Networking,OU=IS Administrators,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC ISO Networking","group","40a2fd20-a6a3-46d7-903b-501a2143f689","HSC ISO Networking","S-1-5-21-865322659-4255640127-3857865232-2108"
"CN=WVUH General Apps,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","WVUH General Apps","group","5e02c621-f010-4b4d-b9ab-fc22e449aa38","WVUH General Apps","S-1-5-21-865322659-4255640127-3857865232-2151"
"CN=$RESIDENTS,OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$RESIDENTS","group","a3cea326-b5a9-4dd1-b14e-3a20f8e9eb1a","$RESIDENTS","S-1-5-21-865322659-4255640127-3857865232-3236"
"CN=HSC Anatomy,OU=ANAT,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC Anatomy","group","11af4729-11ae-4a09-aef0-49d82a911013","HSC Anatomy","S-1-5-21-865322659-4255640127-3857865232-3257"
"CN=$CEI,OU=CEI,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CEI","group","c75d302f-2ec8-4bfe-bbf6-8f0b5bea733c","$CEI","S-1-5-21-865322659-4255640127-3857865232-3226"
"CN=USE-RID,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","USE-RID","group","ee9a1560-9fff-4fb4-8681-61069411a6c7","USE-RID","S-1-5-21-865322659-4255640127-3857865232-2150"
"CN=Printer_Management,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Printer_Management","group","dc95df8e-9e7f-4b3d-99e4-0f7cf2c7d6c2","Printer_Management","S-1-5-21-865322659-4255640127-3857865232-2148"
"CN=$OMAN,OU=OMAN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$OMAN","group","bc8a20cf-c61a-4506-9e8e-4162a9a153f4","$OMAN","S-1-5-21-865322659-4255640127-3857865232-3233"
"CN=RID-EXC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","RID-EXC","group","2a81cbf1-474c-4c3a-8df0-223659b9f7d4","RID-EXC","S-1-5-21-865322659-4255640127-3857865232-2149"
"CN=Help Desk,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Help Desk","group","fb257440-a160-47b0-b637-64b61b1b7a80","Help Desk","S-1-5-21-865322659-4255640127-3857865232-2135"
"CN=PasswordChange,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","PasswordChange","group","a382f06d-e01b-4900-8667-2ecf94fa9e3c","PasswordChange","S-1-5-21-865322659-4255640127-3857865232-2147"
"CN=reslab,OU=RESLAB,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","reslab","group","cb5c9bb3-8e29-4352-8794-c2cd26a24885","reslab","S-1-5-21-865322659-4255640127-3857865232-3283"
"CN=flowcoregrp,OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","flowcoregrp","group","ce1eff04-41d5-4700-b5ab-351c6bf416fc","Flowcore Group","S-1-5-21-865322659-4255640127-3857865232-3253"
"CN=MICRO,OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","MICRO","group","b1d76396-bf67-440a-a513-d77405c39dc6","MICRO","S-1-5-21-865322659-4255640127-3857865232-3269"
"CN=$2006,OU=2006,OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$2006","group","78d42b45-f7e6-40df-8e95-b60bb0ea240d","$2006","S-1-5-21-865322659-4255640127-3857865232-3223"
"CN=HelpServicesGroup,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","HelpServicesGroup","group","867cfd54-45cf-49ad-9721-f2d96d16b682","HelpServicesGroup","S-1-5-21-865322659-4255640127-3857865232-1000"
"CN=ISO,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","ISO","group","9407ec2f-acad-47c1-8f27-b50a3d79e6da","ITS0","S-1-5-21-865322659-4255640127-3857865232-2142"
"CN=$ITS,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","$ITS","group","65d2ad39-9848-459c-803c-8833a4ea11ec","$ITS","S-1-5-21-865322659-4255640127-3857865232-2242"
"CN=HSC SOM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","HSC SOM","group","1aac873d-27d6-4ec7-82f0-bbe0bcd6e758","HSC SOM","S-1-5-21-865322659-4255640127-3857865232-3261"
"CN=ISOHD,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ISOHD","group","a7a6424d-e509-472c-b2b1-b23961f2ae5c","ISOHD","S-1-5-21-865322659-4255640127-3857865232-2144"
"CN=HSC MBRCC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC MBRCC","group","7913be55-eb9a-4360-91bf-719dfd56e3ea","HSC MBRCC","S-1-5-21-865322659-4255640127-3857865232-3258"
"CN=CTRU,OU=CTRU,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","CTRU","group","c2e80b56-b005-45a2-bdfd-53a4886071ff","CTRU","S-1-5-21-865322659-4255640127-3857865232-3246"
"CN=$CTRU,OU=CTRU,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CTRU","group","2c991559-7711-4b45-afd0-cd2505eb60a5","$CTRU","S-1-5-21-865322659-4255640127-3857865232-3227"
"CN=$RADONC,OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$RADONC","group","aa80de66-d9a1-4977-8d53-147b7d11a2f4","$RADONC","S-1-5-21-865322659-4255640127-3857865232-3235"
"CN=$MBRCCHEMONC,OU=HEMONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$MBRCCHEMONC","group","26530b68-d597-4b58-bec3-c6e3bbdfea8a","$MBRCCHEMONC","S-1-5-21-865322659-4255640127-3857865232-3230"
"CN=IIS_WPG,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","IIS_WPG","group","c1ec196b-d39c-4fdc-9e8e-f3ca2b80bfb7","IIS_WPG","S-1-5-21-865322659-4255640127-3857865232-1005"
"CN=WVUH Terminal Server Group,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","WVUH Terminal Server Group","group","3aa5216e-dc1e-4703-8320-a8fd2dcae2d8","WVUH Terminal Server Group","S-1-5-21-865322659-4255640127-3857865232-2152"
"CN=Backup Global,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Backup Global","group","33617471-b326-480e-8e1c-57830a9a0e55","Backup Global","S-1-5-21-865322659-4255640127-3857865232-2203"
"CN=HSC Visio 2007,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC Visio 2007","group","9c905178-0365-448e-8b98-b1929117fc74","HSC Visio 2007","S-1-5-21-865322659-4255640127-3857865232-2211"
"CN=Rheumatology,OU=RHEUM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Rheumatology","group","9419b300-fa12-4e38-8cfb-6f110d2e566c","Rheumatology","S-1-5-21-865322659-4255640127-3857865232-6798"
"CN=$AHEC,OU=AHEC,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$AHEC","group","f9940b01-d97a-4ba2-9945-2c1f4fa87382","$AHEC","S-1-5-21-865322659-4255640127-3857865232-6627"
"CN=$OBGYN,OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$OBGYN","group","2f27e702-5dae-4957-8dd6-99184816461f","$OBGYN","S-1-5-21-865322659-4255640127-3857865232-6673"
"CN=$FACILMGMT,OU=MGMT,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$FACILMGMT","group","70492803-fefc-4e4e-a42b-44fee5100930","$FACILMGMT","S-1-5-21-865322659-4255640127-3857865232-8280"
"CN=$EDPROG,OU=EDPROG,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$EDPROG","group","51492904-e25e-4340-b59a-523b70a0de26","$EDPROG","S-1-5-21-865322659-4255640127-3857865232-4164"
"CN=Mathers Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Mathers Lab Group","group","ad283704-eb8d-4ab4-bd31-812ab226a573","Mathers Lab Group","S-1-5-21-865322659-4255640127-3857865232-4252"
"CN=$EAST_DIV,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$EAST_DIV","group","fc615204-f76c-4981-9037-d3f5f6c02d85","$EAST_DIV","S-1-5-21-865322659-4255640127-3857865232-8275"
"CN=$BEHM,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$BEHM","group","d36d9104-7d8e-45d4-946d-ff8ebae7cec5","$BEHM","S-1-5-21-865322659-4255640127-3857865232-6631"
"CN=$PRC,OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$PRC","group","7f670f06-2645-487c-a448-a5fbb86708dd","$PRC","S-1-5-21-865322659-4255640127-3857865232-4179"
"CN=Radiology TimeClock,OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Radiology TimeClock","group","8b827206-a985-4a21-b6f5-b9b27c7379a6","Radiology TimeClock","S-1-5-21-865322659-4255640127-3857865232-6793"
"CN=$DPRH,OU=DPRH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$DPRH","group","c6a1de06-7400-41f5-8773-1ceefaea57a9","$DPRH","S-1-5-21-865322659-4255640127-3857865232-8273"
"CN=$OS,OU=OS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$OS","group","7ea5d807-a96d-4b22-ac4a-c555a6d85dca","$OS","S-1-5-21-865322659-4255640127-3857865232-8302"
"CN=$PD,OU=PD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$PD","group","58d84208-b14e-472d-b3f6-132bef8e8256","$PD","S-1-5-21-865322659-4255640127-3857865232-8304"
"CN=HSC SPH PHDs,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC SPH PHDs","group","fa0b6c08-f952-448e-8c17-445c1caacb13","HSC  SPH PHDs","S-1-5-21-865322659-4255640127-3857865232-4234"
"CN=HSC CoumaCare Users,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC CoumaCare Users","group","45a59808-3661-4ba1-8553-da09a9ec53a0","HSC CoumaCare Users","S-1-5-21-865322659-4255640127-3857865232-4237"
"CN=SOM MED Employee List,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","SOM MED Employee List","group","ee73d209-2e5e-4c90-8445-eef575feec6b","SOM MED Employee List","S-1-5-21-865322659-4255640127-3857865232-4218"
"CN=Physiology,OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Physiology","group","215e270a-11dd-4dd1-9112-47238150b282","Physiology","S-1-5-21-865322659-4255640127-3857865232-6788"
"CN=HSC UHS,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC UHS","group","b6defb0c-bf1b-40c2-bc6f-c315e234f456","HSC UHS","S-1-5-21-865322659-4255640127-3857865232-6763"
"CN=$CREM,OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CREM","group","a1c1b60e-472f-4eac-aa39-ecc0bc2bc899","$CREM","S-1-5-21-865322659-4255640127-3857865232-6656"
"CN=$DENTADMIN,OU=DENTADMIN,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$DENTADMIN","group","20747110-5f16-4e2e-8c86-a8051f9ab875","$DENTADMIN","S-1-5-21-865322659-4255640127-3857865232-8271"
"CN=SSDB,OU=STUALUM,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","SSDB","group","e9118310-3492-4be8-90a7-4433b7f7cf3b","SSDB","S-1-5-21-865322659-4255640127-3857865232-6806"
"CN=HSC Surgery Everyone,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC Surgery Everyone","group","70839711-2281-401a-b973-c2c1ae67cd62","HSC Surgery Everyone","S-1-5-21-865322659-4255640127-3857865232-6759"
"CN=$BUSINESS,OU=BUSINESS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$BUSINESS","group","9dff0c13-a281-4529-89c2-d4cbcd47210d","$BUSINESS","S-1-5-21-865322659-4255640127-3857865232-6637"
"CN=Spirou Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Spirou Lab Group","group","2457cb13-506b-491b-a72a-61d94777761e","Spirou Lab Group","S-1-5-21-865322659-4255640127-3857865232-3289"
