#TYPE Selected.Quest.ActiveRoles.ArsPowerShellSnapIn.Data.ArsUserObject
"SamAccountName","extensionAttribute5","Description","ParentContainer"
"ipmgr","Sync removed on 6/30/2017 2:13:51 PM",,"HS.wvu-ad.wvu.edu/HSC/NETWORK/NSA"
"wvgs","Sync removed on 6/30/2017 2:12:59 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOP"
"ecs","Sync removed on 6/30/2017 12:24:41 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/EMMED"
"brnitest",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brni-postmaster",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brni-webmaster",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"JDRIV","Sync removed on 6/30/2017 1:54:14 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brni-rsvp",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brni-development",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brnitemp",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"brni-info",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"WVUSOPCE","Sync removed on 6/30/2017 2:13:23 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOP/BEHADPH"
"acpAbstracts","Sync removed on 6/30/2017 11:06:51 AM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOM/INTMED"
"etru","Sync removed on 6/30/2017 12:25:02 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"hcopemail","Sync removed on 6/30/2017 1:52:44 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/HCOP"
"PSPleave","Sync removed on 6/30/2017 1:55:17 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"druginfo","Sync removed on 6/30/2017 2:13:29 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"2316mailroom","Sync removed on 6/30/2017 11:06:44 AM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"MedLabSci","Sync removed on 6/30/2017 1:54:27 PM","WVU Health Science Center; No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"camctest","Sync removed on 6/30/2017 12:22:13 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"HSCDISPATCH","Sync removed on 6/30/2017 1:53:46 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL/ME"
"studentservicesmedic","Sync removed on 6/30/2017 2:12:25 PM","Student Services Medicine","HS.wvu-ad.wvu.edu/HSC/ADMIN/SSERVICES"
"1147xerox","Sync removed on 6/30/2017 11:06:37 AM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/SSERVICES"
"apnea","Sync removed on 6/30/2017 11:52:08 AM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/PEDS"
"resoff",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD"
"HSCGrantsProcessing","Sync removed on 6/30/2017 1:53:50 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD"
"sonstudentservices","Sync removed on 6/30/2017 2:12:03 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"WVADR","Sync removed on 6/30/2017 2:12:54 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"dentaladmit","Sync removed on 6/30/2017 12:24:04 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOD/DENTADMIN"
"csservices","Sync removed on 6/30/2017 12:23:55 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/SSERVICES"
"deptmedphones","Sync removed on 6/30/2017 2:13:28 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/MED/BUSINESS"
"1168xerox","Sync removed on 6/30/2017 11:06:38 AM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"hscbudget","Sync removed on 6/30/2017 1:53:43 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"sopwebform","Sync removed on 6/30/2017 2:12:15 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"sopresearch","Sync removed on 6/30/2017 2:12:10 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"sopalumni","Sync removed on 6/30/2017 2:12:07 PM","WVU Health Science Center; No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"sop","Sync removed on 6/30/2017 2:12:05 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"future","Sync removed on 6/30/2017 1:52:20 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"emcp","Sync removed on 6/30/2017 2:13:33 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/EMMED"
"cardiacproject","Sync removed on 6/30/2017 12:22:26 PM","WVU Health Science Center","HS.wvu-ad.wvu.edu/HSC/SOM/PEDS"
"hollanderlab",,"No365 on 6/26/2017","HS.wvu-ad.wvu.edu/HSC/SOM/HUMANPERF"
"SOPRoom1127B-Wigner","Sync removed on 6/30/2017 2:12:12 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/CLIN"
"SOPRoom1120A","Sync removed on 6/30/2017 2:12:11 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/CLIN"
"g139xerox","Sync removed on 6/30/2017 1:52:32 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RADSAF"
"ChancellorHSC",,"No365 on 6/26/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"wvgec","Sync removed on 6/30/2017 2:12:58 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOM/INTMED"
"hscsafetyoffice","Sync removed on 6/30/2017 1:53:56 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL/SAFETY"
"jobs",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"CEDClinics","Sync removed on 6/30/2017 12:22:35 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"takingcharge","Sync removed on 6/30/2017 2:12:36 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"pbs","Sync removed on 6/30/2017 1:55:06 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"cedwebforms","Sync removed on 6/30/2017 12:22:47 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"TBI","Sync removed on 6/30/2017 2:12:38 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"cedgraphics","Sync removed on 6/30/2017 12:22:41 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"MODIFYCED","Sync removed on 6/30/2017 1:54:43 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"wvats","Sync removed on 6/30/2017 2:12:55 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"greenthumbs","Sync removed on 6/30/2017 1:52:41 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"biosadmin","Sync removed on 6/30/2017 11:52:20 AM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/SPH/BIOSTAT"
"WVUCharleston","Sync removed on 6/30/2017 2:13:09 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV"
"CIT","Sync removed on 6/30/2017 12:23:21 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"WVUPharmacySearch","Sync removed on 6/30/2017 2:13:19 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"pharmacy","Sync removed on 6/30/2017 1:55:10 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"psrhimleave","Sync removed on 6/30/2017 1:55:18 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"HSC_SON_6519","Sync removed on 6/30/2017 1:53:33 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"mdtv","Sync removed on 6/30/2017 2:14:01 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"HSC_SON_SECRETARIES","Sync removed on 6/30/2017 1:53:40 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/SON"
"contact_wvucprc","Sync removed on 6/30/2017 12:23:36 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/WVCTSI/WVUCPRC"
"SON-EBO","Sync removed on 6/30/2017 2:12:01 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"entconference","Sync removed on 6/30/2017 12:24:56 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/ENT"
"chsc2063","Sync removed on 6/30/2017 12:23:02 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"ITSCSS","Sync removed on 6/30/2017 2:13:57 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"applybiomedsci","Sync removed on 6/30/2017 11:52:11 AM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD"
"HSC_SON_6522","Sync removed on 6/30/2017 1:53:34 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"g111minolta","Sync removed on 6/30/2017 1:52:29 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/HR"
"NursingResearch","Sync removed on 6/30/2017 1:54:52 PM",,"HS.wvu-ad.wvu.edu/HSC/SON/RESEARCH"
"moreabout","Sync removed on 6/30/2017 1:54:45 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"MIRC-CONF","Sync removed on 6/30/2017 1:54:42 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/RAD"
"mbrccop","Sync removed on 6/30/2017 1:54:22 PM","No365 on 6/26/2017","HS.wvu-ad.wvu.edu/HSC/MBRCC"
"g106-canon","Sync removed on 6/30/2017 1:52:23 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/DEVEL"
"PATH_Residency",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"its","Sync removed on 6/30/2017 2:13:55 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS"
"hsc2319","Sync removed on 6/30/2017 1:53:42 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/RAD"
"1040xerox","Sync removed on 6/30/2017 11:06:36 AM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/SOMDEAN"
"trainwv","Sync removed on 6/30/2017 2:12:39 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"employmentapps",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/HR"
"WVCTSI_CEO","Sync removed on 6/30/2017 2:12:57 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/WVCTSI"
"SODAcademicAffairs","Sync removed on 6/30/2017 2:11:49 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"mon_marion_hsta","Sync removed on 6/30/2017 1:54:44 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/HSTA"
"cedaccounting","Sync removed on 6/30/2017 12:22:32 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"DentalConference","Sync removed on 6/30/2017 12:24:07 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"humangiftregistry","Sync removed on 6/30/2017 2:13:46 PM",,"HS.wvu-ad.wvu.edu/HSC/BASSCI/ANAT"
"registryinfo","Sync removed on 6/30/2017 1:55:25 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ETHICS"
"shadow","Sync removed on 6/30/2017 2:11:45 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"hsccfo","Sync removed on 6/30/2017 1:53:45 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"UCMobileApp","Sync removed on 6/30/2017 2:12:43 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/EMMED"
"hsc-electric","Sync removed on 6/30/2017 1:53:47 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL"
"fsap","Sync removed on 6/30/2017 1:52:16 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/BEHM"
"travelauth","Sync removed on 6/30/2017 2:12:41 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"NeuroConfRm","Sync removed on 6/30/2017 1:54:49 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"PICU_Sedations","Sync removed on 6/30/2017 1:55:13 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PEDS"
"hsctelecom","Sync removed on 6/30/2017 2:13:44 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"ENDOFacultyCoverage","Sync removed on 6/30/2017 12:24:53 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"cedtraining","Sync removed on 6/30/2017 12:22:44 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"wvhcop","Sync removed on 6/30/2017 2:13:00 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/HCOP"
"chscroom","Sync removed on 6/30/2017 12:23:12 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN"
"WebApp","Sync removed on 6/30/2017 2:14:22 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"msstudy","Sync removed on 6/30/2017 1:54:47 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/BEHADPH"
"calendartest","Sync removed on 6/30/2017 12:22:10 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"wvupcemployment","Sync removed on 6/30/2017 2:13:17 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV"
"admrms","Sync removed on 6/30/2017 11:06:54 AM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"pharmacyconference","Sync removed on 6/30/2017 1:55:11 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/DEAN"
"restorativeconferen","Sync removed on 6/30/2017 1:55:29 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"HSC-Telecommunicatio",,"No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL/ME"
"icrh","Sync removed on 6/30/2017 1:54:02 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/RURHEA"
"PERIOFacultyCoverage","Sync removed on 6/30/2017 1:55:08 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"chsc3042","Sync removed on 6/30/2017 12:23:06 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"HSC_SON_6700A","Sync removed on 6/30/2017 1:53:35 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"MBRCC_2801","Sync removed on 6/30/2017 1:54:20 PM",,"HS.wvu-ad.wvu.edu/HSC/MBRCC"
"CFOOrganizer","Sync removed on 6/30/2017 12:22:50 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"AMIF_VeVo2100",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"COHRA2","Sync removed on 6/30/2017 12:23:33 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"sharepoint","Sync removed on 6/30/2017 2:14:12 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"WVUSOPPR","Sync removed on 6/30/2017 2:13:27 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"MIF_Zeiss_Confocal",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"medadmissions","Sync removed on 6/30/2017 1:54:26 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/SSERVICES"
"sodendoconference","Sync removed on 6/30/2017 2:11:50 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"meconference","Sync removed on 6/30/2017 1:54:25 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL/ME"
"uacddtest","Sync removed on 6/30/2017 2:12:42 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"HSC_SON_6700H","Sync removed on 6/30/2017 1:53:37 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"HSC-Firealarm",,"No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/FACIL/ME"
"McMechenConference","Sync removed on 6/30/2017 1:54:24 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"SODorthoconference","Sync removed on 6/30/2017 2:11:54 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"HSC_ADMIN","Sync removed on 6/30/2017 1:52:57 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"HSC_SON_6700B","Sync removed on 6/30/2017 1:53:36 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"sodits","Sync removed on 6/30/2017 2:11:52 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"RDTPSchedule","Sync removed on 6/30/2017 2:14:11 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP/BEHADPH/RDTP"
"HSC_SON_SKILLSLAB","Sync removed on 6/30/2017 1:53:41 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"wvucedebo","Sync removed on 6/30/2017 2:13:08 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"radiationsafety","Sync removed on 6/30/2017 1:55:22 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RADSAF"
"AMIF_IVIS_Lumina",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MedLeave","Sync removed on 6/30/2017 1:54:28 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/SOM/MED"
"ctgevaluation","Sync removed on 6/30/2017 12:23:58 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/BEHM"
"hscfinancebusiness","Sync removed on 6/30/2017 1:53:48 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"fellowcalendar","Sync removed on 6/30/2017 2:13:34 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/MED"
"hscjobs",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/HR"
"G110Conference","Sync removed on 6/30/2017 1:52:26 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"vidyo","Sync removed on 6/30/2017 2:12:47 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"rsvp",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"HSC_Alumni_Affairs","Sync removed on 6/30/2017 1:53:00 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ALUMNI"
"MIF_Zeiss_PALM",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"ICRC_Outreach","Sync removed on 6/30/2017 1:54:01 PM",,"HS.wvu-ad.wvu.edu/HSC/SPH/ICRC"
"1195-minolta363","Sync removed on 6/30/2017 11:06:41 AM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ETHICS"
"wvctsi","Sync removed on 6/30/2017 2:12:56 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/WVCTSI"
"hscbusinessoffice","Sync removed on 6/30/2017 1:53:44 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"ITSS","Sync removed on 6/30/2017 2:13:58 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"SOPAB","Sync removed on 6/30/2017 2:12:06 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/SOP"
"ce","Sync removed on 6/30/2017 12:22:29 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CE"
"hscrooms","Sync removed on 6/30/2017 2:13:43 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"4632ConferenceRoom","Sync removed on 6/30/2017 11:06:47 AM",,"HS.wvu-ad.wvu.edu/HSC/SOM/OBGYN"
"chscinput","Sync removed on 6/30/2017 12:23:09 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/COMPSERV"
"HSC_ISO_SCHEDULE","Sync removed on 6/30/2017 2:13:39 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"hschelpdesk_macstore","Sync removed on 6/30/2017 2:13:40 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"microcirculation","Sync removed on 6/30/2017 1:54:30 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD/CRC"
"MIF_Nikon_Live_Cell",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"familytofamily","Sync removed on 6/30/2017 1:52:04 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"cedcontact","Sync removed on 6/30/2017 12:22:38 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"brnicareers",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"HSC_SON_6702C","Sync removed on 6/30/2017 1:53:39 PM",,"HS.wvu-ad.wvu.edu/HSC/SON"
"migrateme1","Sync removed on 6/30/2017 2:14:03 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"soncase","Sync removed on 6/30/2017 2:14:16 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts"
"usermodel","Sync removed on 6/30/2017 2:14:19 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts"
"SOD_ORAL_SURGERY_SCH","Sync removed on 6/30/2017 2:11:48 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"mbrccvacation","Sync removed on 6/30/2017 1:54:23 PM",,"HS.wvu-ad.wvu.edu/HSC/MBRCC"
"institutionaladvance","Sync removed on 6/30/2017 2:13:50 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/DEVEL"
"alumni","Sync removed on 6/30/2017 11:06:56 AM","Vanity email, removed sync 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ALUMNI"
"BRNI_Administration",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/BRNI"
"gmecalendar","Sync removed on 6/30/2017 1:52:35 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"admin_exph","Sync removed on 6/30/2017 11:06:53 AM",,"HS.wvu-ad.wvu.edu/HSC/SOM/EXERPHYS"
"HSC_SOD_Room_1114E","Sync removed on 6/30/2017 1:53:31 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"NPAdmin","Sync removed on 6/30/2017 2:14:10 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"HSC_SOD_Room_1103","Sync removed on 6/30/2017 1:53:29 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"urgentcarefeedback","Sync removed on 6/30/2017 2:12:45 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/EMMED"
"SpecializedFamilyCar","Sync removed on 6/30/2017 2:12:16 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"somevent","Sync removed on 6/30/2017 2:11:57 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"web","Sync removed on 6/30/2017 2:14:21 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Application and Web Services"
"hscresearch","Sync removed on 6/30/2017 1:53:55 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD"
"chscsurgery","Sync removed on 6/30/2017 12:23:18 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOM/SURG"
"costsavings","Sync removed on 6/30/2017 12:23:49 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/LEGAL"
"hsvp","Sync removed on 6/30/2017 2:13:45 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"wvupc_picos","Sync removed on 6/30/2017 2:13:16 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV"
"chrwebforms","Sync removed on 6/30/2017 12:22:56 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/ADMIN/HR"
"West_Virginia_Room","Sync removed on 6/30/2017 2:12:52 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
