"Name","Enabled","PasswordLastSet","OperatingSystem","distinguishedName"
"HPUSER","False","11/16/2010 10:26:18 AM","Windows XP Professional","CN=HPUSER,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-WBAUER","False","11/17/2010 9:09:55 AM","Windows XP Professional","CN=MD-WBAUER,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCFP2","False","11/23/2010 12:03:22 PM","Windows Server 2008 R2 Standard","CN=CHSCFP2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-RAD-D4EEB","False","3/21/2011 8:21:57 AM","Windows XP Professional","CN=HSC-RAD-D4EEB,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3801DSK1","True","3/22/2011 10:30:28 AM","Windows 7 Professional","CN=HS-SPH-3801DSK1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3801DSK2","True","3/22/2011 11:08:39 AM","Windows 7 Professional","CN=HS-SPH-3801DSK2,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3801DSK3","True","3/22/2011 11:16:41 AM","Windows 7 Professional","CN=HS-SPH-3801DSK3,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3801DSK4","True","3/22/2011 11:29:26 AM","Windows 7 Professional","CN=HS-SPH-3801DSK4,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3801DSK5","True","3/22/2011 4:07:09 PM","Windows 7 Professional","CN=HS-SPH-3801DSK5,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCORTHO2D48","False","7/27/2011 8:07:11 AM","Windows 7 Professional","CN=HSCORTHO2D48,OU=Ortho,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"davids_mac_pro","True","8/16/2011 10:58:48 AM","Mac OS X","CN=davids_mac_pro,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-ITS-C4BC","False","8/17/2011 6:00:21 PM","Windows 7 Enterprise","CN=HS-ITS-C4BC,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCEMMED54EE","False","9/13/2011 3:48:45 PM","Windows XP Tablet PC Edition","CN=HSCEMMED54EE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SOM-9BE7F8","False","10/11/2011 3:38:53 AM","Windows XP Professional","CN=HSC-SOM-9BE7F8,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCEMMED5041","False","11/18/2011 3:13:51 PM","Windows XP Tablet PC Edition","CN=HSCEMMED5041,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCEMMED55CD","False","1/22/2012 2:38:12 PM","Windows XP Tablet PC Edition","CN=HSCEMMED55CD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-PEDS-06DEB","False","3/8/2012 10:06:25 AM","Windows 7 Professional","CN=HS-PEDS-06DEB,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-ITS-TG-WIN7","True","3/14/2012 8:06:02 AM","Windows 7 Enterprise","CN=HSC-ITS-TG-WIN7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PWARD","False","3/23/2012 10:49:58 AM","Windows XP Professional","CN=PWARD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CITSCVMM","False","4/16/2012 10:38:57 AM","Windows Server 2008 R2 Enterprise","CN=CITSCVMM,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WWW2","False","4/28/2012 8:27:18 AM","Windows Server 2008 R2 Standard","CN=WWW2,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OLDSTAGE","False","5/9/2012 12:57:18 AM","Windows Server® 2008 Standard","CN=OLDSTAGE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2063PC","True","6/4/2012 11:37:41 PM","Windows 7 Enterprise","CN=2063PC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-PHARM-C532","False","6/6/2012 3:22:03 PM","Windows XP Professional","CN=HSC-PHARM-C532,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BRAINCHILD","False","6/13/2012 9:17:36 AM","Windows Server 2008 R2 Standard","CN=BRAINCHILD,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2014PC","True","6/14/2012 2:02:47 PM","Windows 7 Enterprise","CN=2014PC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"KIM-PC","True","8/2/2012 9:34:01 AM","Windows 7 Enterprise","CN=KIM-PC,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCTERMSRV","False","8/7/2012 5:39:51 AM","Windows Server 2008 R2 Standard","CN=CHSCTERMSRV,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CMSMERGE","False","8/20/2012 5:48:19 AM","Windows Server 2008 R2 Standard","CN=CMSMERGE,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-BMARCY1","True","9/20/2012 9:08:04 AM","Windows 7 Professional","CN=PT-BMARCY1,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SOP-24C2","True","9/20/2012 2:05:32 PM","Windows 7 Professional","CN=HSC-SOP-24C2,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OT-SABBOTT1","True","9/20/2012 3:31:05 PM","Windows 7 Professional","CN=OT-SABBOTT1,OU=OT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-NSTARK","True","9/24/2012 9:28:05 AM","Windows 7 Professional","CN=PT-NSTARK,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-MBROWN30","True","9/24/2012 12:15:27 PM","Windows 7 Professional","CN=SON-MBROWN30,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-AMAUST2","True","9/24/2012 3:50:41 PM","Windows 7 Professional","CN=SON-AMAUST2,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCORTHO3B92","True","9/25/2012 10:01:43 AM","Windows 7 Enterprise","CN=HSCORTHO3B92,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-ROWEN","True","9/25/2012 12:55:40 PM","Windows 7 Professional","CN=SON-ROWEN,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT3LEGACY","True","9/27/2012 10:31:13 PM","Windows Server® 2008 Enterprise","CN=HSPRINT3LEGACY,OU=Legacy,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVUD6ZDLS1","True","10/1/2012 9:40:55 AM","Windows 7 Professional","CN=CWVUD6ZDLS1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-F0HCQGJOPE2","True","10/2/2012 4:16:54 PM","Windows 7 Enterprise","CN=WIN-F0HCQGJOPE2,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-JWOMACK3","True","10/3/2012 4:25:24 PM","Windows Vista™ Ultimate","CN=MD-JWOMACK3,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"cits-macbook-pr","True","10/3/2012 4:33:08 PM","Mac OS X","CN=cits-macbook-pr,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HELPDES-NZCYO0I","True","10/4/2012 9:23:28 AM","Windows 7 Enterprise","CN=HELPDES-NZCYO0I,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-JMEEKER1","True","10/4/2012 11:57:38 AM","Windows Vista™ Ultimate","CN=MD-JMEEKER1,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"cwvuc1mjggkdty3","True","10/4/2012 3:03:46 PM","Mac OS X","CN=cwvuc1mjggkdty3,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-PATH-CC819","True","10/4/2012 11:17:55 PM","Windows 7 Enterprise","CN=HS-PATH-CC819,OU=Pathology,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ZBREWER","True","10/5/2012 1:24:36 PM","Windows XP Professional","CN=MD-ZBREWER,OU=2013,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVUDC38JH1","True","10/7/2012 10:10:24 AM","Windows 7 Professional","CN=CWVUDC38JH1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-P4U6CBH53SV","True","10/8/2012 8:40:50 AM","Windows 7 Enterprise","CN=WIN-P4U6CBH53SV,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BEYLAB-LPTP1","True","10/8/2012 2:46:23 PM","Windows 7 Enterprise","CN=BEYLAB-LPTP1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SOM-80D9","True","10/11/2012 7:51:08 AM","Windows 7 Professional","CN=HS-SOM-80D9,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SON-D12B","True","10/11/2012 9:41:35 AM","Windows 7 Professional","CN=HSC-SON-D12B,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-MGUIDO","True","10/11/2012 1:19:08 PM","Windows Vista™ Ultimate","CN=MD-MGUIDO,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVUGF1B4M1","True","10/13/2012 5:43:17 PM","Windows 7 Professional","CN=CWVUGF1B4M1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSNEURO133C","True","10/15/2012 7:27:35 AM","Windows 7 Enterprise","CN=HSNEURO133C,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPTEST","True","10/15/2012 1:07:51 PM","Windows Server 2008 R2 Enterprise","CN=SPTEST,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ATURNE10-SON","True","10/17/2012 10:42:52 AM","Windows 7 Professional","CN=ATURNE10-SON,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WEBEX","True","10/18/2012 1:18:24 PM","Windows 7 Professional","CN=WEBEX,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-BCOOK12","True","10/19/2012 9:02:09 AM","Windows 7 Professional","CN=MD-BCOOK12,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"cwvuc1mjghqldty3","True","10/19/2012 9:28:43 AM","Mac OS X","CN=cwvuc1mjghqldty3,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-T372JPOOJ06","True","10/19/2012 10:53:03 AM","Windows 7 Enterprise","CN=WIN-T372JPOOJ06,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-PLTVK3DAS3J","True","10/19/2012 12:38:44 PM","Windows 7 Enterprise","CN=WIN-PLTVK3DAS3J,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-F26K53SJUJ3","True","10/19/2012 2:27:40 PM","Windows 7 Enterprise","CN=WIN-F26K53SJUJ3,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WIN-5SA5SEN9ON0","True","10/19/2012 4:31:15 PM","Windows 7 Enterprise","CN=WIN-5SA5SEN9ON0,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVUD6YDLS1","True","10/20/2012 7:52:50 PM","Windows 7 Professional","CN=CWVUD6YDLS1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ESEACHRI","True","10/21/2012 7:58:43 PM","Windows 7 Professional","CN=MD-ESEACHRI,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-KSTONE5","True","10/22/2012 9:03:58 AM","Windows 7 Professional","CN=PT-KSTONE5,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-MBEAL","True","10/22/2012 11:08:57 AM","Windows 7 Professional","CN=SOP-MBEAL,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VCAPOZZI-PHARM","True","10/23/2012 9:15:22 AM","Windows 7 Professional","CN=VCAPOZZI-PHARM,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SSMITH-SOP","True","10/23/2012 9:20:42 AM","Windows 7 Professional","CN=SSMITH-SOP,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PH-VLAW","True","10/23/2012 10:28:07 AM","Windows Vista™ Ultimate","CN=PH-VLAW,OU=PH,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-G103M-DESK3","True","10/23/2012 7:57:54 PM","Windows XP Professional","CN=HS-G103M-DESK3,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-LPADILLA","True","10/24/2012 8:10:04 AM","Windows Vista™ Ultimate","CN=MD-LPADILLA,OU=2014,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"AMARTINPC","True","10/25/2012 6:50:32 AM","Windows 7 Enterprise","CN=AMARTINPC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RVERGARA-ANAT","True","10/25/2012 8:05:08 AM","Windows 7 Enterprise","CN=RVERGARA-ANAT,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-EMMED-EDD1","True","10/26/2012 3:15:14 AM","Windows 7 Professional","CN=HSC-EMMED-EDD1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MVINCEN3-PT","True","10/26/2012 9:55:12 AM","Windows 7 Professional","CN=MVINCEN3-PT,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SGHOST","True","10/26/2012 6:16:30 PM","Windows Server 2008 R2 Enterprise","CN=SGHOST,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-RSHENOY1","True","10/29/2012 12:54:43 PM","Windows Vista™ Ultimate","CN=MD-RSHENOY1,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HLYNCH-SON","True","10/29/2012 1:31:17 PM","Windows 7 Professional","CN=HLYNCH-SON,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-3312DSK2","True","10/30/2012 9:11:08 AM","Windows 7 Enterprise","CN=HS-SPH-3312DSK2,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-FKALWAR1","True","10/31/2012 1:13:46 PM","Windows Vista™ Ultimate","CN=MD-FKALWAR1,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-DPHANG","True","10/31/2012 2:33:11 PM","Windows Vista™ Ultimate","CN=MD-DPHANG,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SON-8637","True","11/1/2012 10:26:03 AM","Windows 7 Ultimate","CN=HSC-SON-8637,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-JBENNION","True","11/1/2012 12:59:23 PM","Windows Vista™ Ultimate","CN=MD-JBENNION,OU=Eastern,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"LDONG-WIN7","True","11/2/2012 1:46:53 PM","Windows 7 Professional","CN=LDONG-WIN7,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT1LEGACY","True","11/2/2012 3:12:20 PM","Windows Server® 2008 Enterprise","CN=HSPRINT1LEGACY,OU=Legacy,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"hsc_macmini","True","11/5/2012 2:02:28 PM","Mac OS X","CN=hsc_macmini,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RAD1YTB5C1","True","11/5/2012 3:50:52 PM","Windows 7 Enterprise","CN=RAD1YTB5C1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-PFLOOD","True","11/7/2012 7:28:35 AM","Windows 7 Professional","CN=MD-PFLOOD,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCSURG0872","True","11/7/2012 8:11:59 AM","Windows 7 Enterprise","CN=HSCSURG0872,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-G103G-MAC","True","11/8/2012 8:45:30 AM","Windows 7 Enterprise","CN=HS-G103G-MAC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU2HC1YV1","True","11/8/2012 9:23:32 AM","Windows 7 Professional","CN=CWVU2HC1YV1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-BSTEWARD","True","11/8/2012 10:57:28 AM","Windows Vista™ Ultimate","CN=MD-BSTEWARD,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BACKUPPC","True","11/8/2012 4:50:21 PM","Windows 7 Enterprise","CN=BACKUPPC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ZHULAPTOP-PC","True","11/9/2012 9:20:47 AM","Windows 7 Ultimate","CN=ZHULAPTOP-PC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-HSTA-BFEC1","True","11/9/2012 10:24:12 AM","Windows 7 Enterprise","CN=HS-HSTA-BFEC1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSEC1AC5","True","11/11/2012 7:31:37 AM","Windows 7 Professional","CN=HSSEC1AC5,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSBEHMEDBD","True","11/11/2012 7:42:18 AM","Windows 7 Enterprise","CN=HSBEHMEDBD,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-SCHULER","True","11/11/2012 2:05:32 PM","Windows 7 Professional","CN=SON-SCHULER,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-EBROWN17","False","11/13/2012 10:17:33 AM","Windows 7 Professional","CN=SON-EBROWN17,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"JOSH-PC","True","11/14/2012 1:53:35 PM","Windows 7 Enterprise","CN=JOSH-PC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCSURG0884","True","11/15/2012 2:19:54 PM","Windows 7 Enterprise","CN=HSCSURG0884,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SON-5F2F","True","11/16/2012 1:30:34 PM","Windows 7 Enterprise","CN=HSC-SON-5F2F,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-WWALKER1","True","11/16/2012 2:09:51 PM","Windows XP Professional","CN=MD-WWALKER1,OU=2012,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"JGEORGE-PC","True","11/19/2012 8:52:54 AM","Windows 7 Enterprise","CN=JGEORGE-PC,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ELARKIN","True","11/20/2012 6:45:38 AM","Windows Vista™ Ultimate","CN=MD-ELARKIN,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-KTHOMAS","True","11/20/2012 2:31:10 PM","Windows 7 Enterprise","CN=HS-KTHOMAS,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BMEDPUB04","True","11/22/2012 12:22:37 AM","Windows 7 Professional","CN=BMEDPUB04,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCAXISSERVER","True","11/24/2012 4:59:47 PM","Windows XP Professional","CN=HSCAXISSERVER,OU=Screensaver Exception Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-SCARSON","True","11/25/2012 3:37:03 PM","Windows 7 Professional","CN=SOP-SCARSON,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-ITDSS-AC68","True","11/26/2012 9:20:55 AM","Windows 7 Enterprise","CN=HS-ITDSS-AC68,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PT-GBOTJE","True","11/26/2012 9:30:49 AM","Windows 7 Professional","CN=PT-GBOTJE,OU=PT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SON-5F5C","True","11/26/2012 10:06:45 AM","Windows 7 Enterprise","CN=HSC-SON-5F5C,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-JMARTI82","True","11/26/2012 11:13:50 AM","Windows 7 Professional","CN=SOP-JMARTI82,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-JELKO","True","11/26/2012 1:04:16 PM","Windows Vista™ Ultimate","CN=SOP-JELKO,OU=SOP,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOP-KHARBER2","True","11/26/2012 1:14:29 PM","Windows 7 Professional","CN=SOP-KHARBER2,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SON-MWEST3","True","11/26/2012 2:59:27 PM","Windows 7 Professional","CN=SON-MWEST3,OU=SON,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPRINT4LEGACY","True","11/26/2012 5:28:22 PM","Windows Server® 2008 Enterprise","CN=HSPRINT4LEGACY,OU=Legacy,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
