"GroupName","SamAccountName","GroupCount"
"CHSC Computer Services","CHSC Computer Services","9"
"IOEH","IOEH","20"
"$BRNI","$BRNI","Error Getting Group Count"
"BPS","BPS","39"
"$POISON","$POISON","15"
"ccmd 730","ccmd 730","1"
"$OTHER","$OTHER","14"
"HSC Peds Printing","HSC Peds Printing","36"
"$FACIL","$FACIL","26"
"$BEHADPH","$BEHADPH","42"
"Computer","Computer","1"
"$PHYSIO","$PHYSIO","75"
"MBRCC","MBRCC0","84"
"$ACAF","$ACAF","10"
"HSC Anatomy Gross Lab Group","HSC Anatomy Gross Lab Group","7"
"ccmd 713","ccmd 713","2"
"$CHSCPEDS","$CHSCPEDS","64"
"Question-Bank-RW-Access","Question-Bank-RW-Access","3"
"$HSTA","$HSTA","92"
"Pediatrics","Pediatrics","221"
"$INTMED","$INTMED","130"
"CLIN","CLIN0","76"
"CHSC CSC","CHSC CSC","11"
"Section Chiefs","Section Chiefs","6"
"$MDTV","$MDTV","15"
"$CENTREC","$CENTREC","5"
"HSC SON StudentServices Database Full","HSC SON StudentServices Database Full","2"
"Management","Management","1"
"$ETHICS","$ETHICS","10"
"$OT","$OT","31"
"Human Gift Registry","Human Gift Registry","3"
"OBGYN Scan Users","OBGYN Scan Users","1"
"$OD","$OD","2"
"$SPH","$SPH","81"
"UHS","UHS","16"
"$CHSCSURG","$CHSCSURG","67"
"HSC SOM ENT","HSC SOM ENT","22"
"$CHSCAVP","$CHSCAVP","4"
"HSC EMMED PC FACULTY","HSC EMMED PC FACULTY","15"
"$HCOP","$HCOP","10"
"$SOMMGMT","$SOMMGMT","3"
"$BPS","$BPS","41"
"$CHSCBEHM","$CHSCBEHM","72"
"$FACDEVEL","$FACDEVEL","2"
"$SOPDEAN","$SOPDEAN","26"
"ccmd 775","ccmd 775","1"
"research faculty","research faculty","4"
"$HEALSYS","$HEALSYS","20"
"House Staff","House Staff","15"
"shared","shared0","2"
"$InformTech","$InformTech","3"
"path 751","path 751","6"
"Admin-Office","Admin-Office","2"
"$MED","$MED","73"
"koike","koike","1"
"humanperf","humanperf","71"
"schedulerplus","schedulerplus","4"
"Cognos","Cognos","1"
"$FAMMED","$FAMMED","72"
"MBRCC MGMT","MBRCC MGMT","16"
"$ORTHO","$ORTHO","Error Getting Group Count"
"$CHSCSON","$CHSCSON","13"
"$AVP","$AVP","37"
"pdci 745-746","pdci 745-746","4"
"UML-folder","UML-folder","2"
"$CHSCLAB","$CHSCLAB","5"
"BEHADPH","BEHADPH","33"
"$SOP","$SOP","19"
"$OPTHA","$OPTHA","74"
"HSCSOP","HSCSOP","34"
"$RAD","$RAD","94"
"$HSCADMIN","$HSCADMIN","52"
"COMMED","COMMED","20"
"$HUMANPERF","$HUMANPERF","72"
"$oseahr","$oseahr","3"
"Occupational Therapy","Occupational Therapy","27"
"Promotion-Tenure","Promotion-Tenure","2"
"$CME","$CME","5"
"$SURG","$SURG","Error Getting Group Count"
"$SOMDEAN","$SOMDEAN","16"
"HPF","HPF","2"
"Administration","Administration","2"
"md faculty","md faculty","6"
"HSC EMMED Everyone","HSC EMMED Everyone","26"
"$PSI","$PSI","6"
"$MBRCCMGMT","$MBRCCMGMT","18"
"HSC Pathology","HSC Pathology","36"
"Evaluations","Evaluations","2"
"ccmd 740-741","ccmd 740-741","2"
"$UHS","$UHS","19"
"Basic Sciences","Basic Sciences","79"
"$DS","$DS","15"
"$email","$email","1"
"TORG","TORG","4"
"TBDir","TBDir","2"
"$COMPSERV","$COMPSERV","9"
"Unix_Admins","Unix_Admins","2"
"Physiology Office Users","Physiology Office Users","3"
"micb 701","micb 701","2"
"ADMIN","ADMIN4","2"
"$PULM","$PULM","37"
"snc","snc","5"
"$ME","$ME","104"
"$CHSCADMIN","$CHSCADMIN","21"
"HSC Radiology","HSC Radiology","21"
"Anatomy","Anatomy","21"
"$ETRU Computers","$ETRU Computers","15"
"Staff","Staff0","0"
"CIMDB","CIMDB","15"
"RefManv11","RefManv11","2"
"WVUTEST","WVUTEST","0"
"MGMT","MGMT0","6"
"TMAGRP","TMAGRP","10"
"$Students","$Students","0"
"$Faculty","$Faculty","1"
"$Administration","$Administration","3"
"$CommunityService","$CommunityService","1"
"FOKDATA","FOKDATA","0"
"FOK","FOK","0"
"crh46-2600n","crh46-2600n","1"
"BEHM","BEHM","Error Getting Group Count"
"HBRC","HBRC","3"
"Prevention Center","Prevention Center","6"
"OS","OS","36"
"PD","PD","23"
"CREM","CREM","33"
"DENTADMIN","DENTADMIN","95"
"GM","GM","0"
"Business Office","Business Office","5"
"ODAIS","ODAIS","0"
"Executive","Executive","0"
"RD","RD","30"
"DH","DH","12"
"BCSP","BCSP","0"
"WW","WW","0"
"StudentSrv","StudentSrv","0"
"BOOKS","BOOKS","0"
"$MSO","$MSO","0"
"Billing Office","Billing Office","2"
"Housestaff","Housestaff","119"
"Human Resources","Human Resources","3"
"PERIO","PERIO","13"
"RCB","RCB","0"
"$reception","$reception","2"
"OP","OP","3"
"ccmd 725","ccmd 725","3"
"SOMDEAN","SOMDEAN","10"
"nban 703","nban 703","9"
"ccmd 721-722","ccmd 721-722","7"
"micb 702","micb 702","1"
"Fellows","Fellows","0"
"Nephrology","Nephrology","22"
"RADSAF","RADSAF","8"
"$CHSCSOD","$CHSCSOD","1"
"$Public","$Public","0"
"PROSTHO","PROSTHO","8"
"ClinicalPharmacy","ClinicalPharmacy","4"
"DEVEL","DEVEL","25"
"Reference Manager","Reference Manager","6"
"LIB","LIB","0"
"exerphys","exerphys","34"
"workstudy","workstudy0","0"
"grads_db_ro","grads_db_ro","1"
"grads_db","grads_db","1"
"grants_db","grants_db","2"
"biomed_db","biomed_db","0"
"DATASYS","DATASYS","0"
"dentistry_db","dentistry_db","3"
"wellness_db","wellness_db","Error Getting Group Count"
"imed_db","imed_db","0"
"parking_db","parking_db","1"
"BIOMED","BIOMED0","2"
"EMMED","EMMED","259"
"OTHER","OTHER","13"
"projects","projects","2"
"Blueprints-Full","Blueprints-Full","2"
"$SAFETY","$SAFETY","19"
"mpulse","mpulse","0"
"FACIL","FACIL","25"
"FacultyTeachingAssignments","FacultyTeachingAssignments","0"
"SON-Evaluations","SON-Evaluations","1"
"WorkloadAssignments","WorkloadAssignments","0"
"ACAF","ACAF","5"
"AffiliationAgreements2","AffiliationAgreements2","1"
"PO","PO","0"
"HSTA","HSTA","80"
"Oncology","Oncology","17"
"MDTV Group","MDTV Group","13"
"CENTREC","CENTREC","0"
"ETHICS","ETHICS","7"
"OD","OD","1"
"$COA","$COA","6"
"HCOP","HCOP","7"
"BMT","BMT","0"
"Otolaryngology","Otolaryngology","43"
"secretaries","secretaries0","0"
"HEALSYS","HEALSYS","19"
"InformTech","InformTech","0"
"$MGP","$MGP","130"
"Budget Read","Budget Read","0"
"ERAS-ID","ERAS-ID","5"
"ERAS-Pulm","ERAS-Pulm","1"
"Pulm-Rheum","Pulm-Rheum","1"
"$CARD","$CARD","92"
"$MEDMGMT","$MEDMGMT","Error Getting Group Count"
"Fellow","Fellow","0"
"IDX","IDX","0"
"SOMMedEveryone","SOMMedEveryone","73"
"Accounting","Accounting","12"
"Budget","Budget","6"
"Internal Medicine","Internal Medicine","13"
"MED Secretaries","MED Secretaries","63"
"FAMMED","FAMMED","71"
"Orthopedics","Orthopedics","109"
"AVP","AVP","30"
"budget","budget0","4"
"OPTHA","OPTHA","72"
"mac","mac","0"
"$Ruby","$Ruby","0"
"$UACDD","$UACDD","110"
"$RESGRAD","$RESGRAD","44"
"$RURHEA","$RURHEA","14"
"$SBI","$SBI ","3"
"$SSERVICES","$SSERVICES","29"
"$VP","$VP","30"
"$CE","$CE","8"
"ADMIN","ADMIN0","66"
"OSEAHR","OSEAHR","0"
"datasets","datasets","0"
"CME","CME","2"
"SURG","SURG","291"
"SOMDEAN","SOMDEAN1","65"
"HSC EMMED PC RESIDENTS","HSC EMMED PC RESIDENTS","47"
"PSI","PSI","5"
"DS","DS","15"
"Pulmonary","Pulmonary","30"
"ME","ME","105"
"$HPR","$HPR","0"
"$BUSAFF","$BUSAFF","3"
"$SOCIAL","$SOCIAL","0"
"$BLDGSERV","$BLDGSERV","3"
"$PROD","$PROD","0"
"$CHSCHSTA","$CHSCHSTA","1"
"$CHSCSSERVICES","$CHSCSSERVICES","3"
"$BIOCHEM","$BIOCHEM","97"
"$ANEST","$ANEST","108"
"HSC SQL Administrators","HSC SQL Administrators","16"
"$HMR","$HMR","2"
"HSC Ortho PC Faculty","HSC Ortho PC Faculty","32"
"$PATH","$PATH","108"
"Pharmcas Software","Pharmcas Software","3"
"SOM","SOM","267"
"Dermatology","Dermatology","15"
"ENT GrantManager Full","ENT GrantManager Full","9"
"3025-hp4700 Group","3025-hp4700 Group","2"
"$NETWORK","$NETWORK","2"
"Rural Health","Rural Health","9"
"BRNI Group","BRNI","80"
"Application and Web Services Group","Application and Web Services Group","9"
"Training and Consulting Services Group","Training and Consulting Services Group","1"
"SON Faculty","SON Faculty","3"
"$BIOSAF","$BIOSAF","1"
"$GYNEONC","$GYNEONC","1"
"$CCC","$CCC","8"
"SSERVICES","SSERVICES","24"
"MBRCC Reference Manager Group","MBRCC Reference Manager Group","3"
"Classroom Technology Group","Classroom Technology Group","9"
"Behavioral Medicine","Behavioral Medicine","11"
"$BASSCI","$BASSCI","6"
"SON GRANT","SON GRANT","1"
"Tesing Domain Local Security Group","Tesing Domain Local Security Group","Error Getting Group Count"
"HSC CBLC Staff","HSC CBLC Staff","0"
"CHSC Users","CHSC Users","6"
"sshadmn-Administrators","sshadmn-Administrators","1"
"VP","VP","26"
"HSTA Office Software","HSTA Office Software","17"
"Camtasia Users Group","Camtasia Users Group","87"
"HSC MDTV","HSC MDTV","12"
"SONDEAN","SONDEAN","17"
"$GUEST","$GUEST","1"
"apchadmn-Administrators","apchadmn-Administrators","1"
"HSC Dentistry","HSC Dentistry","8"
"$SON","$SON","29"
"$RESEARCH","$RESEARCH","20"
"$SODORTHO","$SODORTHO","18"
"$SONDEAN","$SONDEAN","19"
"SPSS","SPSS","2"
"HSC Visual Studio 2005","HSC Visual Studio 2005","1"
"HSC VPN","HSC VPN","1"
"$MBRCC","$MBRCC","44"
"HSC Central Receiving","HSC Central Receiving","4"
"RES","RES","12"
"$TEST","$TEST","2"
"MSDSS Admins","MSDSS Admins","1"
"MediaSiteLive","MediaSiteLive","2"
"STUALUM","STUALUM","16"
"WVUH Admins","WVUH Admins","Error Getting Group Count"
"$SURGONC","$SURGONC","1"
"$SECUR","$SECUR","1"
"$REEDPLAN","$REEDPLAN","1"
"SON","SON","52"
"$SOD","$SOD","16"
"Legal","legal","4"
"Radius","Radius","4"
"Enterprise Admin","Enterprise Admin","3"
"GRANTAPPS","GRANTAPPS","2"
"HSC LC Cameras","HSC LC Cameras","1"
"$SERVERS","$SERVERS","2"
"$SOM","$SOM","Error Getting Group Count"
"$ISOComputers","$ISOComputers","1"
"G16-hplj2480 Group","G16-hplj2480 Group","3"
"Hematology","Hematology","2"
"$STUALUM","$STUALUM","18"
"RESGRAD","RESGRAD","39"
"$SODENDO","$SODENDO","18"
"$MedEducation","$MedEducation","0"
"$HSTASrvcs","$HSTASrvcs","0"
"$ExtendedLearning","$ExtendedLearning","0"
"residents","residents1","0"
"$HSC AD Groups","$HSC AD Groups","0"
"$Roles","$Roles","0"
"BE_ESI_GROUP0","BE_ESI_GROUP0","0"
"$hsc","$hsc","0"
"$PRINTING","$PRINTING","0"
"$Guest Accounts","$Guest Accounts","0"
"Database and Application Development Services Group","Database and Application Development Services Group","10"
"Web Services Group","Web Services Group","4"
"BIOSAF","BIOSAF","0"
"GYNEONC","GYNEONC","0"
"Lukomski Shared","Lukomski Shared","4"
"CCC","CCC","6"
"SHARED","SHARED2","0"
"admin","admin3","0"
"acndata","acndata","0"
"ADMIN","ADMIN1","0"
"$WCHOSP","$WCHOSP","0"
"$Server","$Server","0"
"database","database0","0"
"Wellness Group","Wellness","6"
"BRNIaccounting","BRNIaccounting","0"
"$APOGEE","$APOGEE","2"
"Guest","Guest0","0"
"studentservicesro","studentservicesro","9"
"SONEOL","SONEOL","0"
"studentservicesfull","studentservicesfull","17"
"Graphics","Graphics","0"
"Administration","Administration0","0"
"ORTHO","ORTHO","22"
"WVU_Center_Shared_Folder","WVU_Center_Shared_Folder","0"
"MGMT","MGMT1","41"
"SBI","SBI0","0"
"sbi_shared","sbi_shared","0"
"Alpha4","Alpha4","0"
"$DERM","$DERM","16"
"$GI","$GI","36"
"MedStaff","MedStaff","1"
"SURGONC","SURGONC","0"
"SECUR","SECUR","0"
"Novell_Admins","Novell_Admins","0"
"NT_Admins","NT_Admins","0"
"NSTEST","NSTEST","1"
"$PharmLab","$PharmLab","0"
"REEDPLAN","REEDPLAN","0"
"SSxerox","SSxerox","2"
"hp4700","hp4700","1"
"$CONSULT","$CONSULT","0"
"$Visitors","$Visitors","0"
"$CONSULTANT","$CONSULTANT","0"
"PHE","PHE0","0"
"SOD","SOD","18"
"$SODComputers","$SODComputers","0"
"axium0","axium0","26"
"$CHSCPO","$CHSCPO","0"
"$HEALTHCARE","$HEALTHCARE","0"
"$IRAC","$IRAC","0"
"$NTSERVERS","$NTSERVERS","0"
"$Linux","$Linux","0"
"BIOC","BIOC","71"
"ANEST","ANEST","107"
"HMR","HMR","0"
"$No Inheritance","$No Inheritance","0"
"CE-Group","CE-Group","4"
"CommunityService","CommunityService","0"
"ENDO","ENDO","16"
"MDTV Users","MDTV Users","10"
"g252-hpm602 Group","g252-hpm602","4"
"3613-hp2035n Group","3613-hp2035n Group","2"
"8322-minolta-4700 Group","8322-minolta-4700","34"
"g350-hp4200 Group","g350-hp4200","1"
"SGD-Velos","SGD-Velos","0"
"4014-oki6100 Group","4014-oki6100","1"
"1168-HP Group","1168-HP","6"
"Surgery Billing Group","Surgery Billing Group","2"
"6700e-hp2600 Group","6700e-hp2600","3"
"4305-ricoh Group","4305-ricoh","10"
"4612-ob-hp3800 Group","4612-ob-hp3800","4"
"HS Admin Business Office","HS Admin Business Office","5"
"4041-ricoh Group","4041-ricoh","2"
"g139-xerox-232 Group","g139-xerox-232","1"
"Biomed-5500 Group","Biomed-5500","1"
"8503-xerox Group","8503-xerox","1"
"MSII Group","MSII Group","17"
"LC Front Desk Users","LC Front Desk Users","0"
"IPPE","IPPE","15"
"Term Faculty Read Only","Term Faculty Read Only","5"
"G190-hplj3600n Group","G190-hplj3600n Group","5"
"g355a-5252","g355a-5252","2"
"COA","COA","5"
"$WVSTEPS","$WVSTEPS","24"
"Cardiology","Cardiology","90"
"WEMBA","WEMBA","3"
"8322-bizhub751 Group","8322-bizhub751 Group","24"
"4075a-hpp3005","4075a-hpp3005","2"
"4520b-minolta-4700p Group","4520b-minolta-4700p","17"
"$RADComputers","$RADComputers","3"
"SOP Morgantown Staff","SOP Morgantown Staff","6"
"HSC Ortho Billers","HSC Ortho Billers","2"
"ATDB1 Editors","ATDB1 Editors","1"
"Pulmonary Fellows","Pulmonary Fellows","2"
"8722-HP3210 Group","8722-HP3210","0"
"HSC Med Housestaff","HSC Med Housestaff","4"
"MGMT","MGMT3","19"
"SOP Faculty Laptop","SOP Faculty Laptop","12"
"4601-Minolta-4700p Group","4601-Minolta-4700p","12"
"Windows Training Group","Windows Training Group","6"
"LC Front Desk PC's","LC Front Desk PC's","0"
"Environmental Exposures Group","Environmental Exposures Group","6"
"2033-hpljp2035n Group","2033-hpljp2035n Group","0"
"brotherhl-4040cn Group","brotherhl-4040cn Group","1"
"5412-HP4240 Group","5412-HP4240","1"
"MGP","MGP","132"
"BBRC2 Group","BBRC2 Group","6"
"HSC ITS","HSC ITS","43"
"5400-HPLJ4 Group","5400-HPLJ4","1"
"G252F-HPLJ4M Group","G252F-HPLJ4M","1"
"SOLE Managers","SOLE Managers","1"
"5304-HPLJ3330 Group","5304-HPLJ3330","0"
"G280-HP2510 Group","G280-HP2510","1"
"2256-bizhubc253","2256-bizhubc253","2"
"MOH-HP4200 Group","MOH-HP4200","1"
"g135-5170dn Group","g135-5170dn","1"
"2307-hp3005 Group","2307-hp3005","1"
"CTSI Grant","CTSI Grant","1"
"G350-Plotter Group","G350-Plotter","1"
"HP-3101 Group","HP-3101","1"
"Helpdesk-Printer Group","Helpdesk-Printer Group","3"
"4300-canon Group","4300-canon","1"
"2037-hp1600","2037-hp1600","1"
"3143a-hplj2600n Group","3143a-hplj2600n Group","1"
"G154-HP2100 Group","G154-HP2100","1"
"G350-Sharp350 Group","G350-Sharp350","1"
"g100c-hp3800 Group","g100c-hp3800 Group","1"
"3603a-hp4250 Group","3603a-hp4250 Group","0"
"g129-lex120 Group","g129-lex120","1"
"5700-hp4500 Group","5700-hp4500","4"
"1200J-HP1320N Group","1200J-HP1320N","1"
"WVUHR-SOP","WVUHR-SOP","1"
"MDTV-1257-HPLJ5 Group","MDTV-1257-HPLJ5","1"
"4612-hp3800-broke","4612-hp3800-broke","2"
"1122-hp4200 Group","1122-hp4200","0"
"6600-hp1320 Group","6600-hp1320 Group","1"
"4052-HP1320 Group","4052-HP1320","1"
"MS1","MS1","3"
"g290-hp7680 Group","g290-hp7680","1"
"erma2-hplj2840 Group","erma2-hplj2840","1"
"G100-HP1320 Group","G100-HP1320","1"
"HB2816","HB2816","4"
"g270-hp4050 Group","g270-hp4050","4"
"4056-hp2200 Group","4056-hp2200","1"
"4001-hplj2300n Group","4001-hplj2300n Group","2"
"SGD-Test","SGD-Test","1"
"Term Faculty Full","Term Faculty Full","2"
"g111b-minolta223 Group","g111b-minolta223","9"
"G304-HP2510 Group","G304-HP2510","1"
"3138-hp3505 Group","3138-hp3505 Group","1"
"WVUH ACCPAC","WVUH ACCPAC","1"
"4308-HPLJ4050 Group","4308-HPLJ4050","5"
"Mipacs Administrators","Mipacs Administrators","9"
"CARDIAC","CARDIAC","8"
"Classroom PC Admins","Classroom PC Admins","7"
"SGD-VMWARE","SGD-VMWARE","4"
"HSC SOD Senior Checkout Group","HSC SOD Senior Checkout Group","18"
"G139-HP4600 Group","G139-HP4600","2"
"4066-HP1300N Group","4066-HP1300N","5"
"SOP Morgantown Faculty","SOP Morgantown Faculty","25"
"2350-HP2550 Group","2350-HP2550","9"
"ERAS-Psych","ERAS-Psych","2"
"WV-Steps-Group","WV-Steps-Group","9"
"Nephrology Fellows","Nephrology Fellows","1"
"Human Anatomy DVD","Human Anatomy DVD","1"
"3830b-hp2015dn Group","3830b-hp2015dn Group","1"
"HSC Citrix AD Admin","HSC Citrix AD Admin","24"
"1120-minoltac451 Group","1120-minoltac451 Group","15"
"KB Inactive Files Group","KB Inactive Files Group","1"
"4052-minolta Group","4052-minolta","5"
"3801-lexmark360dn Group","3801-lexmark360dn Group","4"
"HRSA-Read only","HRSA-Read only","8"
"2163e-hp4240 Group","2163e-hp4240","0"
"SGD-Word","SGD-Word","1"
"Subject Information Read Only Group","Subject Information Read Only Group","2"
"G249-hp6480 Group","G249-hp6480 Group","1"
"g100a-hp4200 Group","g100a-hp4200","2"
