"SamAccountName","SourceOU","TargetOU"
"Martinez Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Du Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"Hazlehurst Lab","HSC/MBRCC/MBRCC Group/MBRCC Labs","HS Users/HSC/MBRCC/MBRCC Group/MBRCC Labs"
"IVIS Group","HSC/MBRCC/RESLAB","HS Users/HSC/MBRCC/RESLAB"
"g140-minolta-c224e Group","HSC/ADMIN/FACIL/SAFETY","HS Users/HSC/ADMIN/FACIL/SAFETY"
"SAFETY","HSC/ADMIN/FACIL","HS Users/HSC/ADMIN/FACIL"
"$SAFETY","HSC/ADMIN/FACIL/SAFETY","HS Users/HSC/ADMIN/FACIL/SAFETY"
"HSC CED PBS Share Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"HSC CED Share Traverse Group","HSC/ADMIN/CED","HS Users/HSC/ADMIN/CED"
"HSC ERP Share Group","HSC/ADMIN/SOMDEAN","HS Users/HSC/ADMIN/SOMDEAN"
"HS CTSI lander_maternal_1802986219 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI alhadded_ventilation_1703492386 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI patel_laryngectomy_1802005008A001 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Alzheimer_Geriatric Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Pseudomonas Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI CTSI_HVI Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI kovacic_patient Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI thompson_pneumonia_1810305804 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI bailey_osa_1705591902 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rosend_epidural_201708 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI lawrence_brain_injury_1711837874 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Effectiveness of Corticosteroid Injection for CTS","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI robinson_flu_20170822 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1606157289_increasing_dwell_time Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Medicare Claims Analysis Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI eicher_joint_1806162146 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 09012127 _Shaken_Baby_Syndrome Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Familial Hypercholesterolemia Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Orbital Tumors","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI WVADR Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1606145182_rhegmatogenous_retinal_detachment Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI kmagabo-ed-flu-201708 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Lucas_Prine_data Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Post Operative Narcotic Prescriptions","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI ED Holiday Diagnoses Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI PreSurgical Bariatric Psych Consults","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI bryan_hepc_1804059665 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI pellegrino-ckd-20170831 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI patra_brue_1711834164 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI chattha_1808260662 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI vance_vets_1806172693 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI grantd_pediatric_narcotics_20170818 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI mattes_prostate_cancer_20170907 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1611351417_EMR_Decrease_CT Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI petrone-immune-stroke-201606 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rudisill_alcohol_1712877935 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI patel_head_neck_1711837310A001 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI bramer_1809266057 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI WVCTSI_WES Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1512934647R002 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI riggs_nephroctomy_1310102307 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI COAT_Outcomes_Monitoring Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI opioid_post_1705576046 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI mattes_mrn Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Tenncare Data Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI lastinger_data Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Y Drive","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI farjo_patients_1702472265 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI shaver_sd_1309093881R001 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Ubolrat_1703528067","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI peasak_mastectomy_1809277420","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Endo ECHO Data Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI welch_omalizumab_1708732365 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI wagner_mews Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI dekeseredy_spine_1708717088 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rye_ortho_1707686981 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI petrone_tia_1606146493 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI finch_1803052082","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI nguyen_1809264568 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI danielson_data Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI lopinto_osteoporosis__1801955 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI WVU Medicaid Claims Analysis Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI dabir_neurology_residency Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI petrone_stroke_lab_1606146493 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Rahul_Raiker Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI jones_ocular Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS VDI EED Research Project Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI dekeseredy_lumbar_1410470608 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI minc_amp_patient_1704554319 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1610307040 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI dietz_1808247337 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rye_tka_tkr_20180111 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI duckworth_nash_Pro00022932 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rudisill_1610302054 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1603060897_MCARR_PATIENT Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rye_cctr_1712900975 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI duckworth_rinovum_SSU00043581 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1606146493_immune_stat_Ischemic_stroke Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI rye_narcotic_refill_1705576046 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI Thompson_IBD_1712897991 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI marshall-miller-20180817 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI 1708700625  Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI taylor_fammed_1801934426 Group","HSC/ADMIN/WVCTSI/CTSI Researchers","HS Users/HSC/ADMIN/WVCTSI/CTSI Researchers"
"HS CTSI VDI Research Group","HSC/ADMIN/WVCTSI","HS Users/HSC/ADMIN/WVCTSI"
"$ETRU Computers","HSC/ADMIN/MDTV/ETRU Computers","HS Users/HSC/ADMIN/MDTV/ETRU Computers"
"ITS0","HSC/ADMIN/ITS/ISO","HS Users/HSC/ADMIN/ITS/ISO"
"$No Inheritance","HSC/ADMIN/ITS/No Inheritance","HS Users/HSC/ADMIN/ITS/No Inheritance"
"$ITS","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"HSC ITS","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"CSC's","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"Network Infrastructure Group","HSC/ADMIN/ITS/Network and Voice Services/Network Infrastructure","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Infrastructure"
"its-rc-test","HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts"
"$Resource Accounts","HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts"
"MBAMAdvHelpDsk","HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Resource Accounts"
"Novell_Admins","HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts"
"NT_Admins","HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts"
"NSTEST","HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems/Other Accounts"
"$NS","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"Network Systems Group","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"HSC Office 365 Video Admins","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"HSC Test Mail Security Group","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"SCCM Application Admins","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"HSC Office 365 Group Creators","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"SCCM OS Deployment Admin","HSC/ADMIN/ITS/Network and Voice Services/Network Systems","HS Users/HSC/ADMIN/ITS/Network and Voice Services/Network Systems"
"Networking","HSC/ADMIN/ITS/Network and Voice Services","HS Users/HSC/ADMIN/ITS/Network and Voice Services"
"Network and Voice Services Group","HSC/ADMIN/ITS/Network and Voice Services","HS Users/HSC/ADMIN/ITS/Network and Voice Services"
"Cisco_Admins","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"$ISOComputers","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"HSC ITS Datacenter Group","HSC/ADMIN/ITS/Application and Web Services","HS Users/HSC/ADMIN/ITS/Application and Web Services"
"$Application and Web Services Group","HSC/ADMIN/ITS/Application and Web Services","HS Users/HSC/ADMIN/ITS/Application and Web Services"
"$Support Services","HSC/ADMIN/ITS/Application and Web Services/Support Services","HS Users/HSC/ADMIN/ITS/Application and Web Services/Support Services"
"ITSWeb Admins","HSC/ADMIN/ITS/Application and Web Services","HS Users/HSC/ADMIN/ITS/Application and Web Services"
"$ISOMGMT","HSC/ADMIN/ITS/MGMT","HS Users/HSC/ADMIN/ITS/MGMT"
"ITS Account Managers","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"$MDTV","HSC/ADMIN/ITS/Support Services/Classroom Technology","HS Users/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"schedulerplus","HSC/ADMIN/ITS/Support Services/Classroom Technology","HS Users/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"MDTV Group","HSC/ADMIN/ITS/Support Services/Classroom Technology","HS Users/HSC/ADMIN/ITS/Support Services/Classroom Technology"
"Desktop Support Group","HSC/ADMIN/ITS/Support Services/Desktop Support","HS Users/HSC/ADMIN/ITS/Support Services/Desktop Support"
"$HD","HSC/ADMIN/ITS/Support Services/Desktop Support","HS Users/HSC/ADMIN/ITS/Support Services/Desktop Support"
"Support Services Group","HSC/ADMIN/ITS/Support Services","HS Users/HSC/ADMIN/ITS/Support Services"
"Unix_Admins","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"HSC ISO Staff","HSC/ADMIN/ITS","HS Users/HSC/ADMIN/ITS"
"3642-minolta-c368 Group","HSC/ADMIN/WVSTEPS","HS Users/HSC/ADMIN/WVSTEPS"
"PwdTestGroup","HSC/ADMIN","HS Users/HSC/ADMIN"
"Citrix-RiskMgmt Group","HSC/ADMIN/LEGAL","HS Users/HSC/ADMIN/LEGAL"
"FSLogix Share Contributor","HSC/HSC AD Groups","HS Users/HSC/HSC AD Groups"
"FSLogix Share Elevated Contributor","HSC/HSC AD Groups","HS Users/HSC/HSC AD Groups"
"HSC Citrix Axium Group","HSC/HSC AD Groups","HS Users/HSC/HSC AD Groups"
"WVU-Sodexo-IOT Group","HSC/HSC AD Groups","HS Users/HSC/HSC AD Groups"
"its-rc-hsc-research-lab-infante","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-pugacheva","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-berrebi","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-damron","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-barnett","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-ma","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-du","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
"its-rc-hsc-research-lab-klinke","HSC/HSC AD Groups/ITS-RC-Research","HS Users/HSC/HSC AD Groups/ITS-RC-Research"
