"SamAccountName","SourceOU","TargetOU"
"Term Faculty Read Only","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Physio Grant RO Group","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Physiology","HSC/BASSCI/PHYSIO","HS Users/HSC/BASSCI/PHYSIO"
"Basic Sciences","HSC/BASSCI","HS Users/HSC/BASSCI"
"ggismondi Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"3025-hp4700 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"lc-color Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2350y-minolta-c3110 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b14-hp2025n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"8707-hpcm1415","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4400-hpljp2035n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"8707-hpcm1415 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1385-Ricoh-IM-C4500 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4612-hpm375nw Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g229f-minolta-c3110p Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g214-hpljp255dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1025-hpoj8630","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1265a-minolta-c368","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1168-brother-hl-5730dw Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2256-bizhubc253","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"3603-lext630 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"G111-hpoj8500 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"G111-hplj4050 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2037-hp1600","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma370-lex-c760 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"emmed-canon Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g190-hp2430 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g190a-peds-hp4050","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4621-tsp800 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"Gismondi Printer","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g214-hp4100 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g355a-5252","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b128-hplj2605dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4612-hp3800-broke","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6600-hp1320 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"8604-hpm1212nf","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"ADUC-RG","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma345-hp3000","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b59-hp2575","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"8322-bizhub751 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4075a-hpp3005","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g139-BizhubC364e Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4018-bizhub-c3110 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4001-hplj2300n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"3138-hp3505 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"HSCB-RadOn-Copier Grouop","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"UTC2-FamMed-Admin Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"H-PAINC2-ADMIN Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"brotherhl-4040cn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1120-minoltac451 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"H-HSC2-FM-RM2314 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2278-hp4240 gROUP","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4616-brotherJ6720dw Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1146-minolta-c3110 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma345-hp4200","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b111-hp4100 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b111-hp2600n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"G16-hplj2480 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"ADUC","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"8707c-minolta-c3110 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma-126-hp4500","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"b59-hp2575 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"G249-hp6480 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2235-minolta-c258 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4075a-minolta-c258","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma2-204-bro-9440 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma-g109-brother-mfc8900cdw Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1146-hp2025 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"1400-OKIC5100","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g111-hp2025dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6700i-hplj2015 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g301-hplj4250dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"2181-minolta600","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"big-chimney-minolta-421 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g350-hp2055dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4014-dell3130cn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4520-hp4250 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4041-hpljp2055dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4615-minoltac3551 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6600-bizhub420 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g100-minoltac25","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"118annex-hpcljcm2320nf","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"3145a-BrotherHL-2170W Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4028-hp4014n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"5702-bizhub350 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6400-LEXC522","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"erma3-370-brother44dcn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g280-hp4014 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6700e-hp2605dn Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g106-canon3480i Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"6400-dell-2150cn(color)","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g190m-hpljp2015 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4627-hp4100 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"G190-hplj3600n Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"g308-minoltac25 Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"4608-minolta-c224e Group","HSC/Printer Groups","HS Users/HSC/Printer Groups"
"USE-RID","HSC","HS Users/HSC"
"CTSA WVU","HSC/CTSA Grant","HS Users/HSC/CTSA Grant"
"CTSA","HSC Grant","HS Users/HSC Grant"
"CTSA WVSOM","HSC/CTSA Grant","HS Users/HSC/CTSA Grant"
"CTSA MARSHALL","HSC/CTSA Grant","HS Users/HSC/CTSA Grant"
"CTSA CAMC","HSC/CTSA Grant","HS Users/HSC/CTSA Grant"
"BE_ESI_GROUP0","HSC","HS Users/HSC"
"Printer_Management","HSC","HS Users/HSC"
"RID-EXC","HSC","HS Users/HSC"
"sshadmn-Administrators","HSC","HS Users/HSC"
"RefManv11","HSC/NETWORK/NSA","HS Users/HSC/NETWORK/NSA"
"Executive","HSC/EAST_DIV","HS Users/HSC/EAST_DIV"
"ClinicalPharmacy","HSC/EAST_DIV","HS Users/HSC/EAST_DIV"
"Administration0","HSC/EAST_DIV/Administration/Administration","HS Users/HSC/EAST_DIV/Administration/Administration"
"InformTech","HSC/EAST_DIV","HS Users/HSC/EAST_DIV"
"CommunityService","HSC/EAST_DIV","HS Users/HSC/EAST_DIV"
"StudentSrv","HSC/EAST_DIV","HS Users/HSC/EAST_DIV"
"Faculty0","HSC/EAST_DIV/Faculty/Faculty","HS Users/HSC/EAST_DIV/Faculty/Faculty"
"SPH OCCMED Faculty","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH WVU-NYCDHMH Research Group","HSC/SPH","HS Users/HSC/SPH"
"SPH OCCMED Staff","HSC/SPH","HS Users/HSC/SPH"
"SPH EdProg Database RO","HSC/SPH","HS Users/HSC/SPH"
"sph-oha-hp-m479fdw Group","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH SPSS","HSC/SPH","HS Users/HSC/SPH"
"EDPROG","HSC/SPH","HS Users/HSC/SPH"
"Prevention Center","HSC/SPH/PRC","HS Users/HSC/SPH/PRC"
"ODAIS","HSC/SPH/PRC","HS Users/HSC/SPH/PRC"
"OSEAHR","HSC/SPH/PRC","HS Users/HSC/SPH/PRC"
"shared0","HSC/SPH/PRC/shared","HS Users/HSC/SPH/PRC/shared"
"OHSR","HSC/SPH","HS Users/HSC/SPH"
"NewServer","HSC/SPH/COA","HS Users/HSC/SPH/COA"
"IRAP","HSC/SPH/COA","HS Users/HSC/SPH/COA"
"COA","HSC/SPH","HS Users/HSC/SPH"
"SPH Students My Doc","HSC/SPH","HS Users/HSC/SPH"
"SPH Strategic Planning Taskforce","HSC/SPH","HS Users/HSC/SPH"
"SPH Workstations","HSC/SPH","HS Users/HSC/SPH"
"SPH Inventory RW","HSC/SPH","HS Users/HSC/SPH"
"SPH OccMed RW","HSC/SPH","HS Users/HSC/SPH"
"Wellness Vendor Group","HSC/SPH/WELLNESS","HS Users/HSC/SPH/WELLNESS"
"SPH EdProg Database Admin","HSC/SPH","HS Users/HSC/SPH"
"SPH SSL Decryption Group","HSC/SPH","HS Users/HSC/SPH"
"g104c-hp2605 Group","HSC/SPH","HS Users/HSC/SPH"
"WVUOHSR","HSC/SPH","HS Users/HSC/SPH"
"3829-hp3600n Group","HSC/SPH","HS Users/HSC/SPH"
"SPH POC","HSC/SPH","HS Users/HSC/SPH"
"SPH Department Admin","HSC/SPH","HS Users/HSC/SPH"
"SPHSecure Share","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Share on WVU","HSC/SPH","HS Users/HSC/SPH"
"SPH Roaming","HSC/SPH","HS Users/HSC/SPH"
"3801-lexmark360dn Group","HSC/SPH","HS Users/HSC/SPH"
"SPH UHA Admin","HSC/SPH","HS Users/HSC/SPH"
"SPH OccMed RO","HSC/SPH","HS Users/HSC/SPH"
"HS SPH Wincati Users","HSC/SPH","HS Users/HSC/SPH"
"SPH Accounting","HSC/SPH","HS Users/HSC/SPH"
"SPH Finance","HSC/SPH","HS Users/HSC/SPH"
"SPH Faculty Search","HSC/SPH","HS Users/HSC/SPH"
"OccMedBilling Group","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"IOEH","HSC/SPH/OCCMED","HS Users/HSC/SPH/OCCMED"
"SPH login script","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH SAS","HSC/SPH","HS Users/HSC/SPH"
"BIOSTAT","HSC/SPH","HS Users/HSC/SPH"
"SPH Database Admins","HSC/SPH","HS Users/HSC/SPH"
"COMMED","HSC/SPH","HS Users/HSC/SPH"
"EPIDEM","HSC/SPH","HS Users/HSC/SPH"
"SPH Conflict","HSC/SPH","HS Users/HSC/SPH"
"OEHS","HSC/SPH","HS Users/HSC/SPH"
"SPHShare PRC_OurFutureWV","HSC/SPH","HS Users/HSC/SPH"
"HSC  SPH PHDs","HSC/SPH/HSC SPH PHDs","HS Users/HSC/SPH/HSC SPH PHDs"
"g104a-samsung-ml2571n","HSC/SPH","HS Users/HSC/SPH"
"icrc-18-minolta350 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-612-Minolta-c3110 Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"icrc-605-minolta Group","HSC/SPH/ICRC","HS Users/HSC/SPH/ICRC"
"3302-minolta-3350c Group","HSC/SPH","HS Users/HSC/SPH"
"HSC Health Affairs CSC Group","HSC/SPH/HAFFS","HS Users/HSC/SPH/HAFFS"
"$HAFFS","HSC/SPH/HAFFS","HS Users/HSC/SPH/HAFFS"
"HAFFS","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Faculty","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH Staff","HSC/SPH","HS Users/HSC/SPH"
"HS SPH Wincati Secure File Users","HSC/SPH","HS Users/HSC/SPH"
"HPML","HSC/SPH","HS Users/HSC/SPH"
"HSC SPH MSEEL Share Group","HSC/SPH","HS Users/HSC/SPH"
"3306-minoltac364e Group","HSC/SPH","HS Users/HSC/SPH"
"SPH InTune Users","HSC/SPH","HS Users/HSC/SPH"
"MGMT1","HSC/SPH/MGMT/MGMT","HS Users/HSC/SPH/MGMT/MGMT"
"$CMEDMGMT","HSC/SPH/MGMT","HS Users/HSC/SPH/MGMT"
"SBHS","HSC/SPH","HS Users/HSC/SPH"
"$EasternDivision","HSC/SOM/EasternDivision","HS Users/HSC/SOM/EasternDivision"
"EasternDivision","HSC/SOM","HS Users/HSC/SOM"
"PT OT File RW Sharing Group","HSC/SOM","HS Users/HSC/SOM"
"UrologyDept","HSC/SOM/Urology","HS Users/HSC/SOM/Urology"
"$Urology","HSC/SOM/Urology","HS Users/HSC/SOM/Urology"
"Classfiles MSII Share Group","HSC/SOM","HS Users/HSC/SOM"
"Hematopathology Fellowship Share Group","HSC/SOM","HS Users/HSC/SOM"
"HSSOM637E Remote Users","HSC/SOM","HS Users/HSC/SOM"
"EXPH Grants RW Group","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"exerphys","HSC/SOM/EXERPHYS","HS Users/HSC/SOM/EXERPHYS"
"Community Practice","HSC/SOM","HS Users/HSC/SOM"
"$Community Practice","HSC/SOM/Community Practice","HS Users/HSC/SOM/Community Practice"
"HSSOMA9A0 Remote Users","HSC/SOM","HS Users/HSC/SOM"
"OPTHA","HSC/SOM","HS Users/HSC/SOM"
"mac","HSC/SOM/OPTHA","HS Users/HSC/SOM/OPTHA"
"Lee Pyles Shared Folder","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"BIRTHSCORE","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Teleform Users","HSC/SOM/PEDS/BIRTHSCORE","HS Users/HSC/SOM/PEDS/BIRTHSCORE"
"Peds RAPP File Share","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"CARDIAC","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Environmental Exposures Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"PRU Share Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Peds Intune Users","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"Pediatrics Genetics DB Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"118annex-hp2320 Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"g190-minolta-c3110  Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"TORG","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"4001-samsung2850 Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"SOM Peds Cardiac and Birth Score Share Group","HSC/SOM/PEDS","HS Users/HSC/SOM/PEDS"
"FAMMED","HSC/SOM","HS Users/HSC/SOM"
"Physical Therapy","HSC/SOM/PT","HS Users/HSC/SOM/PT"
"FACDEVEL","HSC/SOM","HS Users/HSC/SOM"
"7400a-ricoh Default Printer Group","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"HSC EMMED ERAS","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"HSC EMMED PC FACULTY","HSC/SOM/EMMED","HS Users/HSC/SOM/EMMED"
"HSC Med Housestaff","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"Housestaff","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"HS Dbase","HSC/SOM/MED/HOUSESTAFF","HS Users/HSC/SOM/MED/HOUSESTAFF"
"ISOHD","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"HSC SOM MED ACP Governor Share","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Infectious Disease","HSC/SOM/MED/INFDIS","HS Users/HSC/SOM/MED/INFDIS"
"INFDIS PHC Working File Share","HSC/SOM/MED/INFDIS","HS Users/HSC/SOM/MED/INFDIS"
"ERAS-Neph","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"2220-minoltac224e","HSC/SOM/MED/2220-MinoltaC224e","HS Users/HSC/SOM/MED/2220-MinoltaC224e"
"workstudy0","HSC/SOM/MED/WORKSTUDY/workstudy","HS Users/HSC/SOM/MED/WORKSTUDY/workstudy"
"Derm Research","HSC/SOM/MED/DERM","HS Users/HSC/SOM/MED/DERM"
"Budget Read","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-Pulm","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Pulm-Rheum","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Geriatrics","HSC/SOM/MED/GERI","HS Users/HSC/SOM/MED/GERI"
"Fellow","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"IDX","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"HSC MED MGP Drive Mapping","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Guest0","HSC/SOM/MED/GUEST/Guest","HS Users/HSC/SOM/MED/GUEST/Guest"
"Internal Medicine","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Cardiology","HSC/SOM/MED/CARD","HS Users/HSC/SOM/MED/CARD"
"MGMT Public Share","HSC/SOM/MED/MGMT","HS Users/HSC/SOM/MED/MGMT"
"MGMT3","HSC/SOM/MED/MGMT/MGMT","HS Users/HSC/SOM/MED/MGMT/MGMT"
"MSIII","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Computer","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Oncology","HSC/SOM/MED/HEMONC","HS Users/HSC/SOM/MED/HEMONC"
"Nephrology","HSC/SOM/MED/NEPH","HS Users/HSC/SOM/MED/NEPH"
"Nephrology Faculty","HSC/SOM/MED/NEPH","HS Users/HSC/SOM/MED/NEPH"
"Nephrology Faculty Read Only","HSC/SOM/MED/NEPH","HS Users/HSC/SOM/MED/NEPH"
"Section Chiefs","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Eras-ObGyn","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-Psych","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Management","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"House Staff","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Admin-Office","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Cognos","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Fellows","HSC/SOM/MED/FELLOWS","HS Users/HSC/SOM/MED/FELLOWS"
"HMR","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ICM","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"PA","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Saudi Share","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Rheumatology","HSC/SOM/MED/RHEUM","HS Users/HSC/SOM/MED/RHEUM"
"Endo Traverse Share Group","HSC/SOM/MED/ENDO","HS Users/HSC/SOM/MED/ENDO"
"Endocrinology","HSC/SOM/MED/ENDO","HS Users/HSC/SOM/MED/ENDO"
"Promotion-Tenure","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"SOM MED Employee List","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Evaluations","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Eras-Path","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Pulmonary","HSC/SOM/MED/PULM","HS Users/HSC/SOM/MED/PULM"
"ERAS-Urology","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-Trans","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Alpha4","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-Peds","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"MedStaff","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"SOM Med Hospitalist RW Group","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ESign","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-MedPeds","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Billing Office","HSC/SOM/MED/BILLING","HS Users/HSC/SOM/MED/BILLING"
"Faculty","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Behavioral Medicine Residents Share","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"HSC Forensics Drive","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"FOKDATA","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"fsap group share","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"FOK","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"crh46-2600n","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"residents1","HSC/SOM/BEHM/residents","HS Users/HSC/SOM/BEHM/residents"
"crh-137-brother2270dw","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Behavioral Medicine","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
