HSCDepartmentName,SailPointDepartmentName,CSCEmail,CreateEmail,Groups,OUPath,HomeDirectoryPath
HSC SOD Dentadmin,Dentistry SOD L3,sodits@hsc.wvu.edu,Yes,$Dentadmin;Dentadmin,"OU=DentAdmin,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\DentAdmin
HSC SOD Graduate Prosthodontics,Graduate Prosthodontics::8756,sodits@hsc.wvu.edu,Yes,$Dentadmin;Dentadmin,"OU=DentAdmin,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\DentAdmin
HSC SOD Oral Surgery,SOD Oral Surgery L4,sodits@hsc.wvu.edu,Yes,$OS;OS,"OU=OS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\os
HSC SOD Orthodontics,SOD Orthodontics L4,sodits@hsc.wvu.edu,Yes,$SODORTHO;ORTHO,"OU=ORTHO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\ortho
HSC SOD Periodontics,SOD Periodontics L4,sodits@hsc.wvu.edu,Yes,$PERIO;PERIO,"OU=PERIO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\perio
HSC SOD Restorative Dentistry,SOD Restorative L4,sodits@hsc.wvu.edu,Yes,$RD;RD,"OU=RD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\rd
HSC SOM Anesthesiology,SOM Anesthesiology L4,microsoft@hsc.wvu.edu,Yes,$Anest;Anest,"OU=Anest,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Behavioral Medicine,SOM Behavioral Medicine and Psychiatry L4,david.grose@hsc.wvu.edu,Yes,$BEHM;BEHM,"OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\behm
HSC SOM Biochemistry,SOM Biochemistry L4,shrice@hsc.wvu.edu,Yes,$BIOCHEM;BIOC,"OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bioc
HSC SOM Camden Clark Residents,SOM Camden Clark L4, taroush@hsc.wvu.edu,Yes,$CAMDENCLARKRESIDENTS;CAMDENCLARKRESIDENTS,"OU=CAMDENCLARKRESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Cardiovascular & Thoracic Surgery,SOM Cardiovascular and Thoracic Surgery L4,hncampbell@hsc.wvu.edu,Yes,$SURG;SURG,"OU=HVI,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Surg\
HSC SOM Cardiovascular & Thoracic Surgery,HVI - Cardiology::126,hncampbell@hsc.wvu.edu,Yes,$SURG;SURG,"OU=HVI,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Surg\
HSC SOM Community Practice,SOM Community Practice L4,microsoft@hsc.wvu.edu,Yes,$Community Practice;Community Practice,"OU=Community Practice,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\Public\SOM\Community Practice
HSC SOM Department of Medicine,SOM Medicine L4,jcross@hsc.wvu.edu,Yes,None,"OU=Holding,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Department of Medicine/Gastroenterology,MED - DIGESTIVE DISEASES (8062)::8062,brandy.shroyer@hsc.wvu.edu,Yes,$GI;Gastroenterology,"OU=GI,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=WVU-AD,DC=WVU,DC=EDU",\\hs.wvu-ad.wvu.edu\public\SOM\Med\GI
HSC SOM Department of Medicine/Infectious Disease,Med - Infectious Diseases,brandy.shroyer@hsc.wvu.edu,Yes,$INFDIS;Infectious Disease,"OU=INFDIS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Med\Infdis
HSC SOM Dermatology,SOM Dermatology L4,jcross@hsc.wvu.edu;dhamilton@hsc.wvu.edu,Yes,$DERM;Dermatology,"OU=DERM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\med\derm
HSC SOM Emergency Medicine,SOM Emergency Medicine L4,pslates@hsc.wvu.edu,Yes,$EMMED;EMMED,"OU=EMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\emmed\
HSC SOM Family Medicine,SOM Family Medicine L4,baylesc@wvumedicine.org,Yes,$FAMMED;FAMMED,"OU=FAMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Family Medicine,Family Medicine,baylesc@wvumedicine.org,Yes,$FAMMED;FAMMED,"OU=FAMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Human Performance,SOM Human Performance L4,jpeasak@hsc.wvu.edu,Yes,$HumanPerf;HumanPerf,"OU=HumanPerf,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\humanperf
HSC SOM MD/PHD Graduate Research,SOM MD PHD Graduate Research L4,vlemasters@hsc.wvu.edu,No,None,"OU=Students,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Medical Education,SOM Medical Education L4,amy.drvar@hsc.wvu.edu;kim.helmick@hsc.wvu.edu;bakirby@hsc.wvu.edu;klanham@hsc.wvu.edu,Yes,$SSERVICES;SSERVICES,"OU=SSERVICES,OU=ADMIN,OU=hsc,dc=hs,dc=wvu-ad,dc=wvu,dc=edu",\\hs.wvu-ad.wvu.edu\public\admin\sservices
"HSC SOM Microbiology, Immunology & Cell Biology",SOM Microbiology Immunology and Cell Biology L4,jbarnett@hsc.wvu.edu;tclark8@hsc.wvu.edu,Yes,$MICRO;MICRO,"OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\micro
"HSC SOM Microbiology, Immunology & Cell Biology",HSC Microbiology,jbarnett@hsc.wvu.edu;tclark8@hsc.wvu.edu,Yes,$MICRO;MICRO,"OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\micro
HSC SOM Neurology,Neurology::8080,lgearde@hsc.wvu.edu,Yes,$NEURO;NEURO,"OU=Neuro,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Neuro
HSC SOM Neurology,SOM Neurology L4,lgearde@hsc.wvu.edu,Yes,$NEURO;NEURO,"OU=Neuro,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Neuro
HSC SOM Neuroradiology,SOM Neuroradiology L4,zachary.cummins@hsc.wvu.edu,Yes,$Neuroradiology;Neuroradiology,"OU=Neuroradiology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Neuroradiology
HSC SOM Neurosurgery,SOM Neurosurgery L4,phumberson@hsc.wvu.edu;bekessler@hsc.wvu.edu,Yes,$NEUSUR;NEUSUR,"OU=NEUSUR,OU=SOM,OU=hsc,dc=hs,dc=wvu-ad,dc=wvu,dc=edu",\\hs.wvu-ad.wvu.edu\public\SOM\NEUSUR\
HSC SOM Obstetrics & Gynecology,SOM Obstetrics Gynecology L4,jdefelice@hsc.wvu.edu,Yes,$OBGYN;OBGYN,"OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\obgyn
HSC SOM Ophthalmology,SOM Ophthalmology L4,tmiller@wvumedicine.org,Yes,$Optha;Optha,"OU=Optha,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
HSC SOM Ophthalmology,Ophthalmology::8140,tmiller@wvumedicine.org,Yes,$Optha;Optha,"OU=Optha,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
