"DistinguishedName","GroupCategory","GroupScope","Members","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=Telephone TS Users,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Telephone TS Users","group","da2be10f-8f95-49df-ac02-a1f75be1a1ec","Telephone TS Users","S-1-5-21-865322659-4255640127-3857865232-2214"
"CN=$RESIDENTS,OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$RESIDENTS","group","a3cea326-b5a9-4dd1-b14e-3a20f8e9eb1a","$RESIDENTS","S-1-5-21-865322659-4255640127-3857865232-3236"
"CN=HelpServicesGroup,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HelpServicesGroup","group","867cfd54-45cf-49ad-9721-f2d96d16b682","HelpServicesGroup","S-1-5-21-865322659-4255640127-3857865232-1000"
"CN=$OMAN,OU=OMAN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$OMAN","group","bc8a20cf-c61a-4506-9e8e-4162a9a153f4","$OMAN","S-1-5-21-865322659-4255640127-3857865232-3233"
"CN=$2006,OU=2006,OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$2006","group","78d42b45-f7e6-40df-8e95-b60bb0ea240d","$2006","S-1-5-21-865322659-4255640127-3857865232-3223"
"CN=Mathers Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Mathers Lab Group","group","ad283704-eb8d-4ab4-bd31-812ab226a573","Mathers Lab Group","S-1-5-21-865322659-4255640127-3857865232-4252"
"CN=HSC CoumaCare Users,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC CoumaCare Users","group","45a59808-3661-4ba1-8553-da09a9ec53a0","HSC CoumaCare Users","S-1-5-21-865322659-4255640127-3857865232-4237"
"CN=SOM MED Employee List,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SOM MED Employee List","group","ee73d209-2e5e-4c90-8445-eef575feec6b","SOM MED Employee List","S-1-5-21-865322659-4255640127-3857865232-4218"
"CN=HSC UHS,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC UHS","group","b6defb0c-bf1b-40c2-bc6f-c315e234f456","HSC UHS","S-1-5-21-865322659-4255640127-3857865232-6763"
"CN=Spirou Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Spirou Lab Group","group","2457cb13-506b-491b-a72a-61d94777761e","Spirou Lab Group","S-1-5-21-865322659-4255640127-3857865232-3289"
"CN=CRC,OU=CRC,OU=RESGRAD,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CRC","group","2bf87116-cc7a-43c8-b68d-daef57bc6f08","CRC","S-1-5-21-865322659-4255640127-3857865232-8349"
"CN=ESign,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ESign","group","72799b1f-51ff-49b4-a584-8085f6321397","ESign","S-1-5-21-865322659-4255640127-3857865232-4224"
"CN=NHLBI,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","NHLBI","group","789cf423-1a3c-4f5a-83aa-51c4e2f10a01","NHLBI","S-1-5-21-865322659-4255640127-3857865232-6773"
"CN=obesity,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","obesity","group","07ae5e2c-3dd3-4345-977b-1251e1012cf3","obesity","S-1-5-21-865322659-4255640127-3857865232-6774"
"CN=PA,OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","PA","group","ea0c3132-a3bc-4e38-aae5-98d4453b2755","PA","S-1-5-21-865322659-4255640127-3857865232-6779"
"CN=ccmd 712,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ccmd 712","group","0abb4639-4e5c-4a9e-b0f7-cfa2798675e6","ccmd 712","S-1-5-21-865322659-4255640127-3857865232-4197"
"CN=Staff,OU=PATH,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Staff","group","d57b0be9-f21f-45a3-9628-68c8f2948f1a","Staff0","S-1-5-21-865322659-4255640127-3857865232-6807"
"CN=WVUTEST,OU=WVUTEST,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WVUTEST","group","1eaed673-0358-4c9b-9b7f-28cebe389205","WVUTEST","S-1-5-21-865322659-4255640127-3857865232-8432"
"CN=$Students,OU=Students,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$Students","group","8e825f5a-eb1b-4ef8-9991-4c7e3e8cab90","$Students","S-1-5-21-865322659-4255640127-3857865232-8326"
"CN=FOKDATA,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","FOKDATA","group","947d5525-7c9d-4daa-a7bc-2aae23348a9b","FOKDATA","S-1-5-21-865322659-4255640127-3857865232-6734"
"CN=FOK,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","FOK","group","a8ee0567-12ca-411b-aa0d-c4ba6a8cb919","FOK","S-1-5-21-865322659-4255640127-3857865232-6733"
"CN=GM,OU=DENTADMIN,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GM","group","be7a42cf-9f63-4d41-9bc0-8b924ec0f907","GM","S-1-5-21-865322659-4255640127-3857865232-8368"
"CN=ODAIS,OU=ODAIS,OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ODAIS","group","7dfd6f95-04b0-4348-b70e-6edd9b7f052a","ODAIS","S-1-5-21-865322659-4255640127-3857865232-4259"
"CN=Executive,OU=Executive,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Executive","group","47fc17ef-a128-4d34-931a-8e7b6be59c1c","Executive","S-1-5-21-865322659-4255640127-3857865232-8366"
"CN=BCSP,OU=HPRR,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BCSP","group","e0820a5b-8882-4fdc-a766-ae397366cac3","BCSP","S-1-5-21-865322659-4255640127-3857865232-6709"
"CN=WW,OU=HPRR,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WW","group","ad7ff6f0-fb6c-4890-9829-cbec18ff3974","WW","S-1-5-21-865322659-4255640127-3857865232-6817"
"CN=StudentSrv,OU=StudentSrv,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","StudentSrv","group","f768f8c2-45ea-4f67-b673-f92e8af90268","StudentSrv","S-1-5-21-865322659-4255640127-3857865232-8424"
"CN=BOOKS,OU=BOOKS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BOOKS","group","0178af54-34e7-4938-be10-299752ef9372","BOOKS","S-1-5-21-865322659-4255640127-3857865232-8342"
"CN=$MSO,OU=MSO,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$MSO","group","601d28f1-2f33-41fe-a383-e3cb3946864d","$MSO","S-1-5-21-865322659-4255640127-3857865232-6670"
"CN=RCB,OU=RCB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RCB","group","07f20f0a-b335-4ddd-8fca-51169764ac42","RCB","S-1-5-21-865322659-4255640127-3857865232-8409"
"CN=Fellows,OU=FELLOWS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Fellows","group","1fc43a93-dd5d-4db2-babe-39aa0b805d41","Fellows","S-1-5-21-865322659-4255640127-3857865232-6732"
"CN=$Public,OU=Public,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$Public","group","f16e2e9e-2f4d-4bef-9d9e-2de3e9d6124a","$Public","S-1-5-21-865322659-4255640127-3857865232-6684"
"CN=LIB,OU=LIB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","LIB","group","7cd41af3-4f30-43ab-bcae-6c3072614e15","LIB","S-1-5-21-865322659-4255640127-3857865232-8389"
"CN=workstudy,OU=WORKSTUDY,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","workstudy","group","8d36231f-9ed7-4b4b-af4c-b04b9faae5ba","workstudy0","S-1-5-21-865322659-4255640127-3857865232-6815"
"CN=biomed_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","biomed_db","group","11080e84-a040-4b45-8d8a-39243af9531f","biomed_db","S-1-5-21-865322659-4255640127-3857865232-8339"
"CN=DATASYS,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","DATASYS","group","e2f3ce84-8a13-474a-b44b-491495c02a24","DATASYS","S-1-5-21-865322659-4255640127-3857865232-8352"
"CN=imed_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","imed_db","group","851babbb-1713-4603-9554-7e33cb0320aa","imed_db","S-1-5-21-865322659-4255640127-3857865232-4244"
"CN=mpulse,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","mpulse","group","93fd1fe1-6fa4-4154-b1f0-d8b4da8545e8","mpulse","S-1-5-21-865322659-4255640127-3857865232-2145"
"CN=FacultyTeachingAssignments,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","FacultyTeachingAssignments","group","5fe70915-8217-4d12-93b4-0f0db7830a61","FacultyTeachingAssignments","S-1-5-21-865322659-4255640127-3857865232-6731"
"CN=WorkloadAssignments,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WorkloadAssignments","group","e64a3049-769f-4ff8-b00c-a61a92aa3d3f","WorkloadAssignments","S-1-5-21-865322659-4255640127-3857865232-6814"
"CN=PO,OU=PO,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","PO","group","12ec654b-f1be-463f-8d24-2700832f078d","PO","S-1-5-21-865322659-4255640127-3857865232-8404"
"CN=CENTREC,OU=CENTREC,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CENTREC","group","a4b35dc7-7f92-42df-9bad-e2f57b0c7019","CENTREC","S-1-5-21-865322659-4255640127-3857865232-8345"
"CN=BMT,OU=BMT,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BMT","group","728f5c34-5649-4fdc-877e-7536738eb66b","BMT","S-1-5-21-865322659-4255640127-3857865232-3243"
"CN=secretaries,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","secretaries","group","7b7c8993-130d-419f-bdcf-473dd7cd2453","secretaries0","S-1-5-21-865322659-4255640127-3857865232-4272"
"CN=InformTech,OU=InformTech,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","InformTech","group","4091b791-4709-414f-aea3-c35e38d2282e","InformTech","S-1-5-21-865322659-4255640127-3857865232-8387"
"CN=Budget Read,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Budget Read","group","36a5cf49-b493-420e-bf7a-fade928651a2","Budget Read","S-1-5-21-865322659-4255640127-3857865232-4194"
"CN=Fellow,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Fellow","group","3456cae6-9841-4509-801b-7eb03d056cdd","Fellow","S-1-5-21-865322659-4255640127-3857865232-3252"
"CN=IDX,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","IDX","group","fa25a1eb-8a12-4781-a91a-6a065c65ec19","IDX","S-1-5-21-865322659-4255640127-3857865232-4243"
"CN=mac,OU=OPTHA,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","mac","group","093d415b-aa8a-43b9-8cf7-cf22f9e8fa62","mac","S-1-5-21-865322659-4255640127-3857865232-4250"
"CN=$Ruby,OU=Ruby,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$Ruby","group","e5e1d806-b5ad-4ced-ab22-1581756c2a50","$Ruby","S-1-5-21-865322659-4255640127-3857865232-8314"
"CN=OSEAHR,OU=OSEAHR,OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","OSEAHR","group","10f4ca22-e41e-4267-ac83-74e06b081e08","OSEAHR","S-1-5-21-865322659-4255640127-3857865232-4263"
"CN=datasets,OU=CME,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","datasets","group","1027b770-afbf-439d-a565-5423ba810e28","datasets","S-1-5-21-865322659-4255640127-3857865232-4213"
"CN=$HPR,OU=HPR,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$HPR","group","a52bfa13-070e-4e8c-89a1-fdf069f67567","$HPR","S-1-5-21-865322659-4255640127-3857865232-6665"
"CN=$SOCIAL,OU=SOCIAL,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$SOCIAL","group","6be55853-fe53-4b6c-a626-8b72914c586b","$SOCIAL","S-1-5-21-865322659-4255640127-3857865232-6689"
"CN=$PROD,OU=PROD,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$PROD","group","9fc6bd94-acd1-4e27-a7ef-40cab18ba11e","$PROD","S-1-5-21-865322659-4255640127-3857865232-6682"
"CN=HSC CBLC Staff,OU=Training and Consulting Services,OU=Application and Web Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC CBLC Staff","group","ec5ccb4e-f086-4d26-871b-a8129f5d0bf7","HSC CBLC Staff","S-1-5-21-865322659-4255640127-3857865232-2178"
"CN=$MedEducation,OU=MedEducation,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$MedEducation","group","01406a46-69f1-4287-a711-e21a58d7044c","$MedEducation","S-1-5-21-865322659-4255640127-3857865232-8673"
"CN=$HSTASrvcs,OU=HSTASrvcs,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$HSTASrvcs","group","41c687bd-dac1-4660-b88a-87a3db448777","$HSTASrvcs","S-1-5-21-865322659-4255640127-3857865232-8662"
"CN=$ExtendedLearning,OU=ExtendedLearning,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$ExtendedLearning","group","b9c765f0-d3e2-4246-b6cb-c069b1f751f6","$ExtendedLearning","S-1-5-21-865322659-4255640127-3857865232-8647"
"CN=residents,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","residents","group","4f6839ba-47b8-4dfe-891a-b9afca0f5762","residents1","S-1-5-21-865322659-4255640127-3857865232-8780"
"CN=$HSC AD Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$HSC AD Groups","group","cf677952-0557-42ba-9232-a6da286f59b3","$HSC AD Groups","S-1-5-21-865322659-4255640127-3857865232-8660"
"CN=$Roles,OU=Roles,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$Roles","group","4f90db93-35f0-4bdd-a1dc-1ee3a816d127","$Roles","S-1-5-21-865322659-4255640127-3857865232-8688"
"CN=BE_ESI_GROUP0,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BE_ESI_GROUP0","group","bc231dbd-f0ee-46b6-be4a-4f0d2e52c757","BE_ESI_GROUP0","S-1-5-21-865322659-4255640127-3857865232-8716"
