"GroupName","GroupSamAccountName","GroupDescription","GroupCategory","GroupScope","GroupSID","SIDHIstory","GroupOU","GroupDN"
"RDS Management Servers","RDS Management Servers","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","Security","DomainLocal","S-1-5-32-577","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RDS Management Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Hyper-V Administrators","Hyper-V Administrators","Members of this group have complete and unrestricted access to all features of Hyper-V.","Security","DomainLocal","S-1-5-32-578","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Hyper-V Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Cloneable Domain Controllers","Cloneable Domain Controllers","Members of this group that are domain controllers may be cloned.","Security","Global","S-1-5-21-865322659-4255640127-3857865232-522","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Cloneable Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Access Control Assistance Operators","Access Control Assistance Operators","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","Security","DomainLocal","S-1-5-32-579","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Access Control Assistance Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Remote Management Users","Remote Management Users","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","Security","DomainLocal","S-1-5-32-580","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Remote Management Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Protected Users","Protected Users","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","Security","Global","S-1-5-21-865322659-4255640127-3857865232-525","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Protected Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Print Operators","Print Operators","Members can administer domain printers","Security","DomainLocal","S-1-5-32-550","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Print Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Replicator","Replicator","Supports file replication in a domain","Security","DomainLocal","S-1-5-32-552","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Replicator,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Domain Controllers","Domain Controllers","All domain controllers in the domain","Security","Global","S-1-5-21-865322659-4255640127-3857865232-516","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Read-only Domain Controllers","Read-only Domain Controllers","Members of this group are Read-Only Domain Controllers in the domain","Security","Global","S-1-5-21-865322659-4255640127-3857865232-521","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Read-only Domain Controllers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Domain Users","Domain Users","All domain users","Security","Global","S-1-5-21-865322659-4255640127-3857865232-513","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Domain Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Cert Publishers","Cert Publishers","Members of this group are permitted to publish certificates to the Active Directory","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-517","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Cert Publishers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Backup Operators","Backup Operators","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","Security","DomainLocal","S-1-5-32-551","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Backup Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Guests","Guests","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","Security","DomainLocal","S-1-5-32-546","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Guests,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Domain Admins","Domain Admins","Designated administrators of the domain","Security","Global","S-1-5-21-865322659-4255640127-3857865232-512","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Domain Admins,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Group Policy Creator Owners","Group Policy Creator Owners","Members in this group can modify group policy for the domain","Security","Global","S-1-5-21-865322659-4255640127-3857865232-520","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Group Policy Creator Owners,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","A backward compatibility group which allows read access on all users and groups in the domain","Security","DomainLocal","S-1-5-32-554","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Server Operators","Server Operators","Members can administer domain servers","Security","DomainLocal","S-1-5-32-549","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Server Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Windows Authorization Access Group","Windows Authorization Access Group","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","Security","DomainLocal","S-1-5-32-560","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Windows Authorization Access Group,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Remote Desktop Users","Remote Desktop Users","Members in this group are granted the right to logon remotely","Security","DomainLocal","S-1-5-32-555","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Remote Desktop Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RAS and IAS Servers","RAS and IAS Servers","Servers in this group can access remote access properties of users","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-553","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RAS and IAS Servers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Users","Users","Users are prevented from making accidental or intentional system-wide changes.  Thus, Users can run certified applications, but not most legacy applications","Security","DomainLocal","S-1-5-32-545","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Event Log Readers","Event Log Readers","Members of this group can read event logs from local machine","Security","DomainLocal","S-1-5-32-573","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Event Log Readers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Denied RODC Password Replication Group","Denied RODC Password Replication Group","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-572","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Denied RODC Password Replication Group,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Administrators","Administrators","Administrators have complete and unrestricted access to the computer/domain","Security","DomainLocal","S-1-5-32-544","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Account Operators","Account Operators","Members can administer domain user and group accounts","Security","DomainLocal","S-1-5-32-548","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Account Operators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Distributed COM Users","Distributed COM Users","Members are allowed to launch, activate and use Distributed COM objects on this machine.","Security","DomainLocal","S-1-5-32-562","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Distributed COM Users,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Terminal Server License Servers","Terminal Server License Servers","Terminal Server License Servers","Security","DomainLocal","S-1-5-32-561","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Terminal Server License Servers,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Certificate Service DCOM Access","Certificate Service DCOM Access","Members of this group are allowed to connect to Certification Authorities in the enterprise","Security","DomainLocal","S-1-5-32-574","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Certificate Service DCOM Access,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Storage Replica Administrators","Storage Replica Administrators","Members of this group have complete and unrestricted access to all features of Storage Replica.","Security","Global","S-1-5-32-582","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Storage Replica Administrators,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Key Admins","Key Admins","Members of this group can perform administrative actions on key objects within the domain.","Security","Global","S-1-5-21-865322659-4255640127-3857865232-526","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Key Admins,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"System Managed Accounts Group","System Managed Accounts Group","Members of this group are managed by the system.","Security","DomainLocal","S-1-5-32-581","","CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=System Managed Accounts Group,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Network Systems Group","Network Systems Group","Department Group","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-12721","","OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Network Systems Group,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC SCCM Client Push Agents","HSC SCCM Client Push Agents",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-58386","","OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC SCCM Client Push Agents,OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Desktop Support Group","Desktop Support Group","Department Group","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-12724","","OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Desktop Support Group,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Telephone TS Users","Telephone TS Users",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-2214","","OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Telephone TS Users,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$RESIDENTS","$RESIDENTS","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-3236","","OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$RESIDENTS,OU=RESIDENTS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HelpServicesGroup","HelpServicesGroup",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-1000","","CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HelpServicesGroup,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Mathers Lab Group","Mathers Lab Group","Lab File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-4252","","OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Mathers Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC CoumaCare Users","HSC CoumaCare Users",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4237","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC CoumaCare Users,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOM MED Employee List","SOM MED Employee List",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4218","","OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SOM MED Employee List,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC UHS","HSC UHS",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6763","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC UHS,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Spirou Lab Group","Spirou Lab Group","Lab File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-3289","","OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Spirou Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$ALUMNI","$ALUMNI","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8257","","OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$ALUMNI,OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CRC","CRC","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-8349","","OU=CRC,OU=RESGRAD,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CRC,OU=CRC,OU=RESGRAD,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ESign","ESign",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4224","","OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ESign,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"NHLBI","NHLBI",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6773","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=NHLBI,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"obesity","obesity",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6774","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=obesity,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"PA","PA","Department Group","Security","Global","S-1-5-21-865322659-4255640127-3857865232-6779","","OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=PA,OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"FACDEVEL","FACDEVEL","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-4226","","OU=FACDEVEL,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=FACDEVEL,OU=FACDEVEL,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ccmd 712","ccmd 712",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4197","","OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ccmd 712,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$RCB","$RCB","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8310","","OU=RCB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$RCB,OU=RCB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$OP","$OP","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8301","","OU=OP,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$OP,OU=OP,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ALUMNI","ALUMNI0","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-8335","","OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ALUMNI,OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Blueprints-RO","Blueprints-RO",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-8341","","OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Blueprints-RO,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Agmon Lab Group","Agmon Lab Group","Lab File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-6706","","OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Agmon Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$FELLOWS","$FELLOWS","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-6661","","OU=FELLOWS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$FELLOWS,OU=FELLOWS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CTN_0030","CTN_0030",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6721","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CTN_0030,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Faculty","Faculty0",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6730","","OU=Faculty,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Faculty,OU=Faculty,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$ClinicalPharmacy","$ClinicalPharmacy","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8265","","OU=ClinicalPharmacy,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$ClinicalPharmacy,OU=ClinicalPharmacy,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$PA","$PA","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-6677","","OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$PA,OU=PA,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$LIB","$LIB","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8295","","OU=LIB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$LIB,OU=LIB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$MEDIA","$MEDIA","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-6669","","OU=MEDIA,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$MEDIA,OU=MEDIA,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$WORKSTUDY","$WORKSTUDY","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-6697","","OU=WORKSTUDY,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$WORKSTUDY,OU=WORKSTUDY,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Teaching Faculty","HSC Teaching Faculty",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6762","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Teaching Faculty,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ccmd 730","ccmd 730",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-6713","","OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ccmd 730,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Up To Date Group","Up To Date Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-2250","","OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Up To Date Group,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Cisco_Admins","Cisco_Admins","Application Role Group","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-2244","","OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Cisco_Admins,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Computer","Computer",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4206","","OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Computer,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$ACAF","$ACAF","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-8254","","OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$ACAF,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Anatomy Gross Lab Group","HSC Anatomy Gross Lab Group","Lab File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-6742","","OU=ANAT,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Anatomy Gross Lab Group,OU=ANAT,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ccmd 713","ccmd 713",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-4198","","OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ccmd 713,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Printer_Management","Printer_Management","Role Group","Security","Global","S-1-5-21-865322659-4255640127-3857865232-2148","","OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Printer_Management,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Ghost Admins","HSC Ghost Admins","Application Role","Security","Global","S-1-5-21-865322659-4255640127-3857865232-2179","","OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Ghost Admins,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
